case,config,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,semantic_topology_score_v3,semantic_topology_fail_v3,part_count,part_order_score,adjacency_score,endpoint_score,collision_penalty,combined_topology_volume_score_v3,combined_fail_v3
0012_11_frame001,multishell_topology_decoder_true,0.45037033135474375,0.05442627337072427,163,0.7484662576687117,0.558282208588957,0.012269938650306749,3.803680981595092,0.3492709388108353,0.8522253684342446,505,0.9821782178217822,7,0.6004012126543563,0.6310092907777177,0.4480371607573153,True,0.8632345008320714,True,8,0.9993261092741412,0.7881330910395205,1.0,0.8366399378263697,0.7192548705983721,True
0012_11_frame001,front_back_occupancy_true,0.3725998429011208,0.023214282150390318,171,0.3508771929824561,0.15789473684210525,0.0935672514619883,2.192982456140351,0.15358583408943927,3.9149386062893994,318,0.9371069182389937,10,0.5746140421123034,0.4325053014268771,0.7405255752041386,True,0.8477899228842892,True,8,1.0,0.7050305248631343,1.0,0.7846770833149433,0.5903134575806936,True
0012_11_frame001,real_vggt_baseline_only,0.35827478755344805,0.01671019408736304,182,0.14285714285714285,0.04945054945054945,0.0989010989010989,1.521978021978022,0.05145815301211228,0.3682742917566447,213,0.7652582159624414,13,1.0,0.35917604408028686,0.6702858992602446,True,0.0,True,0,0.0,0.0,0.0,1.0,0.22268914732977785,True
0012_11_frame001,same_topology_no_semantic,0.15739636119859873,0.008973168734849346,171,0.9064327485380117,0.5614035087719298,0.05847953216374269,3.853801169590643,0.45278133222452854,0.6707459556113927,469,1.0,1,1.0,0.5611661329441532,0.4924935435047582,True,0.0,True,0,0.0,0.0,0.0,1.0,0.347923002425375,True
0012_11_frame001,shuffled_smpl_feature,0.42806587854574085,0.022366011756291333,183,0.4918032786885246,0.22950819672131148,0.0,2.7049180327868854,0.21633174099154454,0.5869697240999322,380,0.9578947368421052,10,1.0,0.516107901549784,0.5308496763782106,True,0.0,True,0,0.0,0.0,0.0,1.0,0.3199868989608661,True
0012_11_frame001,thickness_only_control,0.43396810692337995,0.04425350873284789,178,0.20224719101123595,0.07865168539325842,0.05056179775280899,1.803370786516854,0.10026141137410166,0.3528963580671752,261,0.8582375478927203,8,1.0,0.4206352872892399,0.6075964213561342,True,0.0,True,0,0.0,0.0,0.0,1.0,0.26079387811932875,True
0012_11_frame001,posthoc_surfel_only,0.35295132937629675,0.01646345383770304,172,0.16279069767441862,0.06395348837209303,0.12209302325581395,1.6046511627906976,0.06290431709013833,0.580541260368294,223,0.8565022421524664,12,1.0,0.3768573766794879,0.6695859241499758,True,0.0,True,0,0.0,0.0,0.0,1.0,0.2336515735412825,True
0012_11_frame001,tiny_synthetic_token_control,0.35818457888962696,0.01669086222981672,170,0.1588235294117647,0.058823529411764705,0.11176470588235295,1.5941176470588236,0.05445479886914762,0.4143255570143156,211,0.7488151658767772,16,1.0,0.3644697297130479,0.6686763148480973,True,0.0,True,0,0.0,0.0,0.0,1.0,0.22597123242208972,True
0013_01_frame001,multishell_topology_decoder_true,0.38610666755430323,0.030489958924360263,181,0.6243093922651933,0.4198895027624309,0.03867403314917127,3.132596685082873,0.2676492493502572,0.862099329777251,496,0.9858870967741935,6,0.6312659503306758,0.5488784806766022,0.5346614293327381,True,0.854347211505702,True,8,1.0,0.7625273523449391,1.0,0.8628462658053285,0.6649565983916601,True
0013_01_frame001,front_back_occupancy_true,0.34088029241553996,0.014755209453701793,166,0.22289156626506024,0.07228915662650602,0.05421686746987952,1.963855421686747,0.12660723649218378,2.6844476555311245,273,0.945054945054945,11,0.6834242429776581,0.3747992708703273,0.7944280656169481,True,0.8567862687605838,True,8,1.0,0.7205631325210052,0.9837835021306696,0.7092203968926792,0.5579543300686247,True
