view_name,human_point_count,environment_point_count,environment_ratio,human_span_x,human_span_y,human_span_z,human_thickness_ratio,body_part_count,true_to_v50r2_nn_mean,vggt_visible_baseline_to_v50r2_nn_mean,observation_only_sparse_to_v50r2_nn_mean,no_smpl_filter_to_v50r2_nn_mean,shuffled_semantic_to_v50r2_nn_mean,smpl_graph_only_to_v50r2_nn_mean,true_beats_required_controls,anti_2d_proxy_pass,human_main_proxy_pass,mentor_ready,status,no_teacher_copy,manual_visual_gate_pass
cam00,24000,7000,0.22580645161290322,0.21216078102588654,0.45110684633255005,0.7300733923912048,0.2906019985675812,2,0.001052099327656912,0.0009275663769971912,0.0008576425801476426,0.0007284137610018308,0.0009102569527790197,0.048419140645301714,False,True,False,False,V521_OBSERVATION_ANCHORED_VISIBLE_STUDENT_FAIL_CLOSED_CONTINUE_REPAIR_NOT_PROMOTED,True,False
cam01,24000,7000,0.22580645161290322,0.23713916540145874,0.6551060080528259,0.7556741833686829,0.31381139159202576,3,0.001370794875156452,0.0012090185264503988,0.0012356626968589631,0.0009022512036458069,0.0012018044993601386,0.07052087340024761,False,True,False,False,V521_OBSERVATION_ANCHORED_VISIBLE_STUDENT_FAIL_CLOSED_CONTINUE_REPAIR_NOT_PROMOTED,True,False
cam06,23246,7000,0.23143556172717053,0.5647407174110413,0.3508449196815491,0.5826665163040161,0.6021367311477661,2,0.0009560371466549495,0.0007317810393654734,0.0007817485757123312,0.0005804081034238436,0.000746668062611998,0.05339264872577633,False,True,False,False,V521_OBSERVATION_ANCHORED_VISIBLE_STUDENT_FAIL_CLOSED_CONTINUE_REPAIR_NOT_PROMOTED,True,False
cam11,24000,7000,0.22580645161290322,0.7575637102127075,0.5123934745788574,0.35813623666763306,0.4727473556995392,4,0.0012846783621018626,0.0011100041489378722,0.0010582180973996106,0.0007789148807006032,0.001057826058772561,0.08586089990135082,False,True,False,False,V521_OBSERVATION_ANCHORED_VISIBLE_STUDENT_FAIL_CLOSED_CONTINUE_REPAIR_NOT_PROMOTED,True,False
cam16,24000,7000,0.22580645161290322,0.6790198087692261,0.5483042001724243,0.46255922317504883,0.6812161207199097,3,0.0012600883339943404,0.001091669154298459,0.0009985803243330405,0.0007331266341524344,0.0010578386482358738,0.06463287483969285,False,True,False,False,V521_OBSERVATION_ANCHORED_VISIBLE_STUDENT_FAIL_CLOSED_CONTINUE_REPAIR_NOT_PROMOTED,True,False
cam21,24000,7000,0.22580645161290322,0.26882094144821167,0.6692102551460266,0.6138094663619995,0.4016987681388855,2,0.0011855038171605158,0.001005400606888195,0.0010141551382429853,0.0007352729170920558,0.000994392953175015,0.035292405806546474,False,True,False,False,V521_OBSERVATION_ANCHORED_VISIBLE_STUDENT_FAIL_CLOSED_CONTINUE_REPAIR_NOT_PROMOTED,True,False
