case,config,prediction,ply,steps,max_points,device,history_json,model_owned_student_output,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,facial_detail_target_applicable,face_detail_claim_allowed,feature_bank_fallback_used,infill_aligned_to_baseline_frame,alignment_type,alignment_axis_scale_json,connected_infill_points,connected_infill_distance_mean,part_quota_json,strict_preserve_ratio,strict_preserve_conf_mean,strict_weak_nonpreserve_mean,proposal_edit_ratio,v205_proposal_npz,visible_lock_ratio,proposal_edit_points,proposal_score_top_mean,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,adjacency_collision_score_v4,adjacency_collision_fail_v4,part_presence_score,valid_contact_score,invalid_overlap_penalty,adjacent_overmerge_penalty,distant_separation_score,semantic_order_score,combined_topology_volume_score_v4,combined_fail_v4
0012_11_frame001,patch_local_decoder_true,/workspace/repo/output/V21100000000000000000_patch_local_decoder/0012_11_frame001/patch_local_decoder_true/predictions.npz,/workspace/repo/output/V21100000000000000000_patch_local_decoder/0012_11_frame001/patch_local_decoder_true/full_scene_rgb_pointcloud.ply,220,8192,cuda,"[{""step"": 1, ""loss"": 4.4430718421936035, ""pose_width"": 0.0034330873750150204, ""completeness"": 0.0807657539844513, ""preserve_residual"": 1.7477437722845934e-05, ""visible_rgb_lock"": 1.4239784604797023e-06, ""nonregression_lock"": 0.45907649397850037, ""preserve_occ"": 0.5190261006355286, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 0.5577859878540039, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 4.114615440368652}, {""step"": 50, ""loss"": 3.1399240493774414, ""pose_width"": 0.0006483598845079541, ""completeness"": 0.0, ""preserve_residual"": 2.1852279132872354e-06, ""visible_rgb_lock"": 8.381229008591617e-07, ""nonregression_lock"": 0.00011030799942091107, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 9.057685383595526e-05, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.021524911746382713}, {""step"": 100, ""loss"": 3.125796318054199, ""pose_width"": 0.0005868681473657489, ""completeness"": 0.0, ""preserve_residual"": 7.950574172355118e-07, ""visible_rgb_lock"": 2.681749720068183e-07, ""nonregression_lock"": 6.160192424431443e-05, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 8.135109965223819e-05, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.009226243942975998}, {""step"": 150, ""loss"": 3.1214680671691895, ""pose_width"": 0.0005011000903323293, ""completeness"": 0.0, ""preserve_residual"": 2.3688059513915505e-07, ""visible_rgb_lock"": 1.2526297155091015e-07, ""nonregression_lock"": 3.721167740877718e-05, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 5.2533614507410675e-05, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.004753297660499811}, {""step"": 200, ""loss"": 3.1195950508117676, ""pose_width"": 0.0003894396941177547, ""completeness"": 0.0, ""preserve_residual"": 1.8563757464562514e-07, ""visible_rgb_lock"": 9.149846391665051e-08, ""nonregression_lock"": 2.214476262452081e-05, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 3.3051295758923516e-05, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.004905478563159704}, {""step"": 220, ""loss"": 3.1187713146209717, ""pose_width"": 0.0003703961556311697, ""completeness"": 0.0, ""preserve_residual"": 1.6264691282685817e-07, ""visible_rgb_lock"": 8.594996359079232e-08, ""nonregression_lock"": 1.8542399629950523e-05, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 2.8179114451631904e-05, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.00522947870194912}]",True,False,False,False,False,False,True,robust_per_axis_v950_to_v140,"[0.4353169798851013, 0.3149559795856476, 0.18000000715255737]",4357,0.011791715398430824,"{""forced_budget"": true, ""target_infill"": 7200, ""target_mask_points"": 3600, ""target_parts"": [0, 1, 2, 3, 4, 6, 7], ""part_0_forced_quota"": 3024, ""part_0_selected"": 838, ""part_1_forced_quota"": 720, ""part_1_selected"": 720, ""part_2_forced_quota"": 720, ""part_2_selected"": 661, ""part_3_forced_quota"": 720, ""part_3_selected"": 720, ""part_6_forced_quota"": 720, ""part_6_selected"": 720, ""part_7_forced_quota"": 732, ""part_7_selected"": 698, ""selected_infill"": 4357, ""mean_visible_distance"": 0.011791715398430824, ""mean_target_distance"": 0.009305844083428383, ""mean_proposal_score"": 0.15337958931922913, ""patch_count"": 6, ""per_patch_budget"": 1034, ""patch_0_part"": 0, ""patch_0_points"": 1034, ""patch_0_radius"": 0.05107945576310158, ""patch_0_thickness"": 0.012000000104308128, ""patch_1_part"": 1, ""patch_1_points"": 1034, ""patch_1_radius"": 0.015, ""patch_1_thickness"": 0.012000000104308128, ""patch_2_part"": 2, ""patch_2_points"": 1034, ""patch_2_radius"": 0.05586812272667885, ""patch_2_thickness"": 0.012000000104308128, ""patch_3_part"": 3, ""patch_3_points"": 1034, ""patch_3_radius"": 0.015, ""patch_3_thickness"": 0.012000000104308128, ""patch_4_part"": 6, ""patch_4_points"": 1034, ""patch_4_radius"": 0.0389731302857399, ""patch_4_thickness"": 0.012000000104308128, ""patch_5_part"": 7, ""patch_5_points"": 1034, ""patch_5_radius"": 0.048626597970724106, ""patch_5_thickness"": 0.012000000104308128, ""decoded_patch_points"": 6200, ""patch_npz"": ""/workspace/repo/output/V21000000000000000000_patch_geometry_sources/0012_11_frame001/patch_geometry_sources.npz""}",0.9570333333333333,1.0,0.6327206492424011,0.06,/workspace/repo/output/V20500000000000000000_learned_part_proposals/0012_11_frame001/proposal_scores.npz,0.52,3600,0.793498694896698,0.3679250633330817,0.016798185752046352,182,0.22527472527472528,0.07142857142857142,0.1043956043956044,1.7252747252747254,0.07944092931406027,0.4186091690888204,245,0.8612244897959184,10,0.6041027357361749,0.3778778298342294,0.6656853426412913,True,0.6239552820244383,True,1.0,0.5232573658595684,0.6035026301708206,0.3308639401408665,0.34596858459301744,0.6666666666666666,0.4910734578417255,True
0013_01_frame001,patch_local_decoder_true,/workspace/repo/output/V21100000000000000000_patch_local_decoder/0013_01_frame001/patch_local_decoder_true/predictions.npz,/workspace/repo/output/V21100000000000000000_patch_local_decoder/0013_01_frame001/patch_local_decoder_true/full_scene_rgb_pointcloud.ply,220,8192,cuda,"[{""step"": 1, ""loss"": 4.47841739654541, ""pose_width"": 0.0033695599995553493, ""completeness"": 0.12216535210609436, ""preserve_residual"": 2.141858567483723e-05, ""visible_rgb_lock"": 1.3789574495604029e-06, ""nonregression_lock"": 0.4722617268562317, ""preserve_occ"": 0.5611425042152405, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 0.5107154846191406, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 4.1051249504089355}, {""step"": 50, ""loss"": 3.143117666244507, ""pose_width"": 0.0006746036815457046, ""completeness"": 0.0, ""preserve_residual"": 1.0638973435561638e-06, ""visible_rgb_lock"": 6.225777156032564e-07, ""nonregression_lock"": 0.00022215541685000062, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 0.00017645276966504753, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.033242933452129364}, {""step"": 100, ""loss"": 3.1257922649383545, ""pose_width"": 0.0006550102261826396, ""completeness"": 0.0, ""preserve_residual"": 5.871390840184176e-07, ""visible_rgb_lock"": 1.1345411365937252e-07, ""nonregression_lock"": 0.00015158962924033403, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 0.00016325713659171015, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.011607903987169266}, {""step"": 150, ""loss"": 3.120120048522949, ""pose_width"": 0.00054663245100528, ""completeness"": 0.0, ""preserve_residual"": 2.0486217522375227e-07, ""visible_rgb_lock"": 6.933287721722081e-08, ""nonregression_lock"": 8.300221088575199e-05, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 9.767791198100895e-05, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.00526938121765852}, {""step"": 200, ""loss"": 3.1185989379882812, ""pose_width"": 0.0004208394675515592, ""completeness"": 0.0, ""preserve_residual"": 1.5252065566073725e-07, ""visible_rgb_lock"": 5.332134378477349e-08, ""nonregression_lock"": 4.409623215906322e-05, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 5.65652662771754e-05, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.0037596498150378466}, {""step"": 220, ""loss"": 3.1181368827819824, ""pose_width"": 0.00038066631532274187, ""completeness"": 0.0, ""preserve_residual"": 1.4485117105778045e-07, ""visible_rgb_lock"": 5.3135380539970356e-08, ""nonregression_lock"": 3.549888060661033e-05, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 4.784674820257351e-05, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.0036155241541564465}]",True,False,False,False,False,False,True,robust_per_axis_v950_to_v140,"[0.46477022767066956, 0.3285066485404968, 0.22002629935741425]",4179,0.011811764910817146,"{""forced_budget"": true, ""target_infill"": 7200, ""target_mask_points"": 3600, ""target_parts"": [0, 1], ""part_0_forced_quota"": 3024, ""part_0_selected"": 2316, ""part_1_forced_quota"": 3024, ""part_1_selected"": 1863, ""selected_infill"": 4179, ""mean_visible_distance"": 0.011811764910817146, ""mean_target_distance"": 0.012096752412617207, ""mean_proposal_score"": 0.16066528856754303, ""patch_count"": 4, ""per_patch_budget"": 1550, ""patch_0_part"": 0, ""patch_0_points"": 1550, ""patch_0_radius"": 0.0331212654709816, ""patch_0_thickness"": 0.012000000104308128, ""patch_1_part"": 0, ""patch_1_points"": 1550, ""patch_1_radius"": 0.0464976541697979, ""patch_1_thickness"": 0.012000000104308128, ""patch_2_part"": 1, ""patch_2_points"": 1550, ""patch_2_radius"": 0.10685228556394577, ""patch_2_thickness"": 0.012000000104308128, ""patch_3_part"": 1, ""patch_3_points"": 1550, ""patch_3_radius"": 0.12035564333200455, ""patch_3_thickness"": 0.012000000104308128, ""decoded_patch_points"": 6200, ""patch_npz"": ""/workspace/repo/output/V21000000000000000000_patch_geometry_sources/0013_01_frame001/patch_geometry_sources.npz""}",0.9566333333333333,1.0,0.6275384426116943,0.06,/workspace/repo/output/V20500000000000000000_learned_part_proposals/0013_01_frame001/proposal_scores.npz,0.52,3600,0.7603955268859863,0.3566571528730726,0.011654975393368185,210,0.16666666666666666,0.10952380952380952,0.1,1.8904761904761904,0.1176035532203039,0.395309627078846,320,0.946875,10,0.7320304656094301,0.38562431170644185,0.6504711883118754,True,0.621644064239443,True,1.0,0.5930253249251097,0.6747660736074438,0.29501609601715334,0.27595949058624586,0.6666666666666666,0.49419339787162236,True
0021_03_frame001,patch_local_decoder_true,/workspace/repo/output/V21100000000000000000_patch_local_decoder/0021_03_frame001/patch_local_decoder_true/predictions.npz,/workspace/repo/output/V21100000000000000000_patch_local_decoder/0021_03_frame001/patch_local_decoder_true/full_scene_rgb_pointcloud.ply,220,8192,cuda,"[{""step"": 1, ""loss"": 4.2952561378479, ""pose_width"": 0.0027313348837196827, ""completeness"": 0.03073778748512268, ""preserve_residual"": 8.11845384305343e-05, ""visible_rgb_lock"": 1.0936254511761945e-05, ""nonregression_lock"": 0.46620526909828186, ""preserve_occ"": 0.45668813586235046, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 0.4744338393211365, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 3.8219337463378906}, {""step"": 50, ""loss"": 3.1575469970703125, ""pose_width"": 0.0005172426463104784, ""completeness"": 0.0, ""preserve_residual"": 5.066799531050492e-06, ""visible_rgb_lock"": 4.0512095438316464e-06, ""nonregression_lock"": 0.00018715539772529155, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 0.00026146048912778497, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.07329989969730377}, {""step"": 100, ""loss"": 3.1336047649383545, ""pose_width"": 0.0003844978054985404, ""completeness"": 0.0, ""preserve_residual"": 1.4911346397639136e-06, ""visible_rgb_lock"": 1.2795474049198674e-06, ""nonregression_lock"": 7.174174243118614e-05, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 0.00012373160279821604, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.01630331389605999}, {""step"": 150, ""loss"": 3.1246073246002197, ""pose_width"": 0.00032085503335110843, ""completeness"": 0.0, ""preserve_residual"": 5.673828695762495e-07, ""visible_rgb_lock"": 5.560466433962574e-07, ""nonregression_lock"": 4.217169771436602e-05, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 7.35882786102593e-05, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.011935565620660782}, {""step"": 200, ""loss"": 3.120000123977661, ""pose_width"": 0.0002780942595563829, ""completeness"": 0.0, ""preserve_residual"": 3.521496978464711e-07, ""visible_rgb_lock"": 3.0317130494950106e-07, ""nonregression_lock"": 2.495973603799939e-05, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 4.8971523938234895e-05, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.006654108874499798}, {""step"": 220, ""loss"": 3.119264841079712, ""pose_width"": 0.0002695841249078512, ""completeness"": 0.0, ""preserve_residual"": 3.806531765349064e-07, ""visible_rgb_lock"": 2.678098383057659e-07, ""nonregression_lock"": 2.102789585478604e-05, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 4.15007489209529e-05, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.005685018375515938}]",True,False,False,False,False,False,True,robust_per_axis_v950_to_v140,"[0.5570809245109558, 0.38094890117645264, 0.18000000715255737]",4004,0.025818198919296265,"{""forced_budget"": true, ""target_infill"": 7200, ""target_mask_points"": 3600, ""target_parts"": [0, 1, 2, 3, 4, 5, 6, 7], ""part_0_forced_quota"": 3024, ""part_0_selected"": 864, ""part_1_forced_quota"": 720, ""part_1_selected"": 562, ""part_2_forced_quota"": 1082, ""part_2_selected"": 502, ""part_3_forced_quota"": 892, ""part_3_selected"": 562, ""part_4_forced_quota"": 720, ""part_4_selected"": 543, ""part_5_forced_quota"": 720, ""part_5_selected"": 202, ""part_6_forced_quota"": 720, ""part_6_selected"": 284, ""part_7_forced_quota"": 720, ""part_7_selected"": 485, ""selected_infill"": 4004, ""mean_visible_distance"": 0.025818198919296265, ""mean_target_distance"": 0.009355058893561363, ""mean_proposal_score"": 0.10137054324150085, ""patch_count"": 9, ""per_patch_budget"": 689, ""patch_0_part"": 0, ""patch_0_points"": 689, ""patch_0_radius"": 0.042954616248607635, ""patch_0_thickness"": 0.012000000104308128, ""patch_1_part"": 0, ""patch_1_points"": 689, ""patch_1_radius"": 0.18561169505119324, ""patch_1_thickness"": 0.025658458471298218, ""patch_2_part"": 1, ""patch_2_points"": 689, ""patch_2_radius"": 0.018759775906801224, ""patch_2_thickness"": 0.012000000104308128, ""patch_3_part"": 2, ""patch_3_points"": 689, ""patch_3_radius"": 0.04340428113937378, ""patch_3_thickness"": 0.012395336292684078, ""patch_4_part"": 3, ""patch_4_points"": 689, ""patch_4_radius"": 0.020439015701413155, ""patch_4_thickness"": 0.013481252826750278, ""patch_5_part"": 4, ""patch_5_points"": 689, ""patch_5_radius"": 0.01966330222785473, ""patch_5_thickness"": 0.012000000104308128, ""patch_6_part"": 5, ""patch_6_points"": 689, ""patch_6_radius"": 0.11293615400791168, ""patch_6_thickness"": 0.012000000104308128, ""patch_7_part"": 6, ""patch_7_points"": 689, ""patch_7_radius"": 0.12227658927440643, ""patch_7_thickness"": 0.012000000104308128, ""patch_8_part"": 7, ""patch_8_points"": 689, ""patch_8_radius"": 0.050915807485580444, ""patch_8_thickness"": 0.012000000104308128, ""decoded_patch_points"": 6200, ""patch_npz"": ""/workspace/repo/output/V21000000000000000000_patch_geometry_sources/0021_03_frame001/patch_geometry_sources.npz""}",0.9473166666666667,0.979252278804779,0.6321507692337036,0.06,/workspace/repo/output/V20500000000000000000_learned_part_proposals/0021_03_frame001/proposal_scores.npz,0.31055,3600,0.5782432556152344,0.35148514795673913,0.021456744729942995,158,0.3670886075949367,0.22784810126582278,0.11392405063291139,2.348101265822785,0.1353611583324579,0.5123770027309077,336,0.8511904761904762,13,0.5143780028162591,0.4258804955217281,0.6313881193381026,True,0.5713982346469765,True,1.0,0.5790942288617892,0.8064891571268741,0.4998268724525775,0.3806754767532272,0.6666666666666666,0.49281865551934234,True
current_v895_0021_03,patch_local_decoder_true,/workspace/repo/output/V21100000000000000000_patch_local_decoder/current_v895_0021_03/patch_local_decoder_true/predictions.npz,/workspace/repo/output/V21100000000000000000_patch_local_decoder/current_v895_0021_03/patch_local_decoder_true/full_scene_rgb_pointcloud.ply,220,8192,cuda,"[{""step"": 1, ""loss"": 4.4006667137146, ""pose_width"": 0.002630391623824835, ""completeness"": 0.07060882449150085, ""preserve_residual"": 5.631381645798683e-05, ""visible_rgb_lock"": 2.788410711218603e-06, ""nonregression_lock"": 0.5523216724395752, ""preserve_occ"": 0.502062201499939, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 0.4602721929550171, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 3.8361189365386963}, {""step"": 50, ""loss"": 3.1522958278656006, ""pose_width"": 0.0006249152356758714, ""completeness"": 0.0, ""preserve_residual"": 5.4962401918601245e-06, ""visible_rgb_lock"": 2.9362618079176173e-06, ""nonregression_lock"": 0.00021120057499501854, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 0.0002362284722039476, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.03437906876206398}, {""step"": 100, ""loss"": 3.1295692920684814, ""pose_width"": 0.0005087627796456218, ""completeness"": 0.0, ""preserve_residual"": 8.874443437889568e-07, ""visible_rgb_lock"": 5.218062142375857e-07, ""nonregression_lock"": 0.00013988121645525098, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 0.00013121910160407424, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.012044223956763744}, {""step"": 150, ""loss"": 3.1223795413970947, ""pose_width"": 0.0003873621462844312, ""completeness"": 0.0, ""preserve_residual"": 6.835009571659612e-07, ""visible_rgb_lock"": 2.685154640857945e-07, ""nonregression_lock"": 7.540225487900898e-05, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 6.382963329087943e-05, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.009412376210093498}, {""step"": 200, ""loss"": 3.1189072132110596, ""pose_width"": 0.00034499255707487464, ""completeness"": 0.0, ""preserve_residual"": 5.848925184182008e-07, ""visible_rgb_lock"": 1.4274542081693653e-07, ""nonregression_lock"": 4.9374313675798476e-05, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 3.590225605876185e-05, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.006250383332371712}, {""step"": 220, ""loss"": 3.118283271789551, ""pose_width"": 0.000340672122547403, ""completeness"": 0.0, ""preserve_residual"": 4.572275429381989e-07, ""visible_rgb_lock"": 1.2082688272130326e-07, ""nonregression_lock"": 4.183426790405065e-05, ""preserve_occ"": 0.0, ""connected_occ"": 0.6200000047683716, ""target_occ"": 0.7599999904632568, ""edit_budget_target"": 0.699999988079071, ""edit_budget_locked"": 2.9456004995154217e-05, ""connectivity_target"": 0.5799999833106995, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.004136978182941675}]",True,False,False,False,False,False,True,robust_per_axis_v950_to_v140,"[0.5555160045623779, 0.3801652491092682, 0.18000000715255737]",4211,0.029903454706072807,"{""forced_budget"": true, ""target_infill"": 7200, ""target_mask_points"": 3600, ""target_parts"": [0, 1, 2, 3, 4, 5, 6, 7], ""part_0_forced_quota"": 3024, ""part_0_selected"": 876, ""part_1_forced_quota"": 720, ""part_1_selected"": 542, ""part_2_forced_quota"": 1128, ""part_2_selected"": 508, ""part_3_forced_quota"": 900, ""part_3_selected"": 558, ""part_4_forced_quota"": 720, ""part_4_selected"": 245, ""part_5_forced_quota"": 734, ""part_5_selected"": 499, ""part_6_forced_quota"": 720, ""part_6_selected"": 490, ""part_7_forced_quota"": 720, ""part_7_selected"": 493, ""selected_infill"": 4211, ""mean_visible_distance"": 0.029903454706072807, ""mean_target_distance"": 0.009601856581866741, ""mean_proposal_score"": 0.12014507502317429, ""patch_count"": 9, ""per_patch_budget"": 689, ""patch_0_part"": 0, ""patch_0_points"": 689, ""patch_0_radius"": 0.17226946353912354, ""patch_0_thickness"": 0.01425543986260891, ""patch_1_part"": 0, ""patch_1_points"": 689, ""patch_1_radius"": 0.02700013853609562, ""patch_1_thickness"": 0.013641951605677605, ""patch_2_part"": 1, ""patch_2_points"": 689, ""patch_2_radius"": 0.02105429396033287, ""patch_2_thickness"": 0.012000000104308128, ""patch_3_part"": 2, ""patch_3_points"": 689, ""patch_3_radius"": 0.04437655583024025, ""patch_3_thickness"": 0.01299176923930645, ""patch_4_part"": 3, ""patch_4_points"": 689, ""patch_4_radius"": 0.02031802013516426, ""patch_4_thickness"": 0.016678128391504288, ""patch_5_part"": 4, ""patch_5_points"": 689, ""patch_5_radius"": 0.11220436543226242, ""patch_5_thickness"": 0.020013099536299706, ""patch_6_part"": 5, ""patch_6_points"": 689, ""patch_6_radius"": 0.055767692625522614, ""patch_6_thickness"": 0.012000000104308128, ""patch_7_part"": 6, ""patch_7_points"": 689, ""patch_7_radius"": 0.04759884253144264, ""patch_7_thickness"": 0.012000000104308128, ""patch_8_part"": 7, ""patch_8_points"": 689, ""patch_8_radius"": 0.04829469323158264, ""patch_8_thickness"": 0.012000000104308128, ""decoded_patch_points"": 6200, ""patch_npz"": ""/workspace/repo/output/V21000000000000000000_patch_geometry_sources/current_v895_0021_03/patch_geometry_sources.npz""}",0.9458166666666666,0.9724161028862,0.6443701386451721,0.06,/workspace/repo/output/V20500000000000000000_learned_part_proposals/current_v895_0021_03/proposal_scores.npz,0.3178,3600,0.5807119607925415,0.3470159514004084,0.022407552760569563,155,0.34838709677419355,0.1870967741935484,0.11612903225806452,2.2838709677419353,0.13892323736032436,0.5154809746613439,311,0.8938906752411575,13,0.5020065154614126,0.41784468275180775,0.6418833966977342,True,0.5752030777344086,True,1.0,0.6008351825333558,0.8056842636805024,0.5129849521153699,0.3875443554959926,0.6666666666666666,0.4902295444438042,True
