case,prediction,ply,steps,max_points,device,history_json,model_owned_student_output,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,mean_thin_axis_layers,anti_billboard_score,billboard_score,billboard_fail
0012_11_frame001,D:\vggt\vggt-canonical-surfel-adapter\output\V13060000000000000000_anti_billboard_training\0012_11_frame001\anti_billboard_trained_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V13060000000000000000_anti_billboard_training\0012_11_frame001\anti_billboard_trained_true\full_scene_rgb_pointcloud.ply,8,2048,cpu,"[{""step"": 1, ""loss"": 0.12356582283973694, ""anti_billboard_loss"": 0.029619265347719193, ""grad_norm"": 0.7949713468551636}, {""step"": 8, ""loss"": 0.008748127147555351, ""anti_billboard_loss"": 0.01144244335591793, ""grad_norm"": 0.07547395676374435}]",True,False,False,0.4181474304713247,0.01905788768052636,138,0.15942028985507245,0.07246376811594203,1.7173913043478262,0.17277173913043475,0.8272282608695652,True
0013_01_frame001,D:\vggt\vggt-canonical-surfel-adapter\output\V13060000000000000000_anti_billboard_training\0013_01_frame001\anti_billboard_trained_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V13060000000000000000_anti_billboard_training\0013_01_frame001\anti_billboard_trained_true\full_scene_rgb_pointcloud.ply,8,2048,cpu,"[{""step"": 1, ""loss"": 0.1385861486196518, ""anti_billboard_loss"": 0.029669787734746933, ""grad_norm"": 0.9563379287719727}, {""step"": 8, ""loss"": 0.00139702670276165, ""anti_billboard_loss"": 0.0, ""grad_norm"": 0.008902468718588352}]",True,False,False,0.3940203614161479,0.012647386651689548,161,0.16149068322981366,0.049689440993788817,1.6273291925465838,0.16543478260869565,0.8345652173913043,True
0021_03_frame001,D:\vggt\vggt-canonical-surfel-adapter\output\V13060000000000000000_anti_billboard_training\0021_03_frame001\anti_billboard_trained_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V13060000000000000000_anti_billboard_training\0021_03_frame001\anti_billboard_trained_true\full_scene_rgb_pointcloud.ply,8,2048,cpu,"[{""step"": 1, ""loss"": 0.16529767215251923, ""anti_billboard_loss"": 0.029362279921770096, ""grad_norm"": 0.9756750464439392}, {""step"": 8, ""loss"": 0.019221248105168343, ""anti_billboard_loss"": 0.027878232300281525, ""grad_norm"": 0.019931508228182793}]",True,False,False,0.3428398902375952,0.02122978493307916,129,0.3488372093023256,0.18604651162790697,2.3255813953488373,0.3383720930232559,0.6616279069767441,True
current_v895_0021_03,D:\vggt\vggt-canonical-surfel-adapter\output\V13060000000000000000_anti_billboard_training\current_v895_0021_03\anti_billboard_trained_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V13060000000000000000_anti_billboard_training\current_v895_0021_03\anti_billboard_trained_true\full_scene_rgb_pointcloud.ply,8,2048,cpu,"[{""step"": 1, ""loss"": 0.14904914796352386, ""anti_billboard_loss"": 0.029600083827972412, ""grad_norm"": 1.0103603601455688}, {""step"": 8, ""loss"": 0.01654837839305401, ""anti_billboard_loss"": 0.023738421499729156, ""grad_norm"": 0.033685557544231415}]",True,False,False,0.364701640732262,0.02362612936817458,134,0.3208955223880597,0.17164179104477612,2.246268656716418,0.3148694029850746,0.6851305970149254,True
