case,control,true_score,control_score,true_billboard_fail,control_close_or_better
0012_11_frame001,real_vggt_baseline_only,0.43837010954060435,0.3591760440802873,True,False
0012_11_frame001,same_topology_no_semantic,0.43837010954060435,0.5611661329441531,True,True
0012_11_frame001,shuffled_smpl_feature,0.43837010954060435,0.5161079015497834,True,True
0012_11_frame001,thickness_only_control,0.43837010954060435,0.42063528728923866,True,False
0012_11_frame001,posthoc_surfel_only,0.43837010954060435,0.376857376679488,True,False
0012_11_frame001,tiny_synthetic_token_control,0.43837010954060435,0.3644697297130483,True,False
0013_01_frame001,real_vggt_baseline_only,0.44722775145541044,0.3529421859619089,True,False
0013_01_frame001,same_topology_no_semantic,0.44722775145541044,0.6438028617027225,True,True
0013_01_frame001,shuffled_smpl_feature,0.44722775145541044,0.5869365525898297,True,True
0013_01_frame001,thickness_only_control,0.44722775145541044,0.40997880783769064,True,False
0013_01_frame001,posthoc_surfel_only,0.44722775145541044,0.3441530491438291,True,False
0013_01_frame001,tiny_synthetic_token_control,0.44722775145541044,0.3436050810464271,True,False
0021_03_frame001,real_vggt_baseline_only,0.46268985660744777,0.42397473523682466,True,False
0021_03_frame001,same_topology_no_semantic,0.46268985660744777,0.5310976227401352,True,True
0021_03_frame001,shuffled_smpl_feature,0.46268985660744777,0.4971418125164344,True,True
0021_03_frame001,thickness_only_control,0.46268985660744777,0.46322618975536667,True,True
0021_03_frame001,posthoc_surfel_only,0.46268985660744777,0.4258749025282402,True,False
0021_03_frame001,tiny_synthetic_token_control,0.46268985660744777,0.4126268167206759,True,False
current_v895_0021_03,real_vggt_baseline_only,0.43583510984010304,0.4215960286039639,True,True
current_v895_0021_03,same_topology_no_semantic,0.43583510984010304,0.5255679127685778,True,True
current_v895_0021_03,shuffled_smpl_feature,0.43583510984010304,0.4812033043458524,True,True
current_v895_0021_03,thickness_only_control,0.43583510984010304,0.4512002929905857,True,True
current_v895_0021_03,posthoc_surfel_only,0.43583510984010304,0.43131285372442085,True,True
current_v895_0021_03,tiny_synthetic_token_control,0.43583510984010304,0.42695540959295164,True,True
