case_id,token_shape,world_points_shape,sparse_prior_shape,patch_start_idx,token_delta_l2,token_delta_mean_abs
current_v895_0021_03,"[1, 2, 21, 64]","[1, 2, 56, 56, 3]","[1, 2, 16, 32]",5,1.4551942348480225,0.020108424127101898
0021_03_frame001,"[1, 2, 21, 64]","[1, 2, 56, 56, 3]","[1, 2, 16, 32]",5,1.4215927124023438,0.021066654473543167
0012_11_frame001,"[1, 2, 21, 64]","[1, 2, 56, 56, 3]","[1, 2, 16, 32]",5,1.2572541236877441,0.01912003755569458
0013_01_frame001,"[1, 2, 21, 64]","[1, 2, 56, 56, 3]","[1, 2, 16, 32]",5,1.2696596384048462,0.019694749265909195
