case,config,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,adjacency_collision_score_v4,adjacency_collision_fail_v4,part_presence_score,valid_contact_score,invalid_overlap_penalty,adjacent_overmerge_penalty,distant_separation_score,semantic_order_score,combined_topology_volume_score_v4,combined_fail_v4
0012_11_frame001,patch_skeleton_volume_true,0.38798638990705175,0.01676550472181761,181,0.2596685082872928,0.03867403314917127,0.09944751381215469,1.861878453038674,0.09099559799126193,0.42484678066992976,273,0.8644688644688645,10,0.7475799869574897,0.39746626665253126,0.6422240536722411,True,0.6065523376303819,True,1.0,0.5303132062113163,0.6226010542142157,0.4152220420993615,0.31653416751597035,0.6666666666666666,0.4936458593023426,True
0012_11_frame001,patch_local_decoder_true,0.3626177225106116,0.016457045768296836,181,0.19337016574585636,0.06077348066298342,0.10497237569060773,1.6298342541436464,0.06972035305723844,0.4241951222335562,228,0.8245614035087719,12,0.6635964185263508,0.3654258255025355,0.6752719796815906,True,0.6237124671484223,True,1.0,0.528553738501471,0.5982625933278353,0.33916340165061154,0.33197958107974734,0.6666666666666666,0.48423768065964345,True
0012_11_frame001,forced_edit_budget_selection_true,0.45542501935959717,0.0196816115626878,175,0.38857142857142857,0.10857142857142857,0.0,2.3771428571428572,0.1286048780158525,0.4313126872579606,297,0.898989898989899,7,0.6055244605493905,0.450693512574076,0.5925529502678628,True,0.5422579744124995,True,1.0,0.5497895386778954,0.8073831977196595,0.627369115162045,0.334269221910405,0.6666666666666666,0.4928131650197508,True
0012_11_frame001,edit_budget_decoder_true,0.40469204654059726,0.017553193378557416,183,0.16393442622950818,0.06557377049180328,0.10382513661202186,1.6120218579234973,0.0682811208946107,0.40830094822629426,228,0.8552631578947368,9,0.6347994468837179,0.38216192663280946,0.6581556104510909,True,0.616615945023554,True,1.0,0.5453609904437305,0.637450119714077,0.3585999363657071,0.33746211220895844,0.6666666666666666,0.490010775092552,True
0012_11_frame001,proposal_conditioned_decoder_true,0.402629766444944,0.017565009745845902,183,0.14754098360655737,0.060109289617486336,0.10382513661202186,1.6065573770491803,0.06568905160762299,0.4129977876651902,239,0.8619246861924686,9,0.6416882327325603,0.3777002391515637,0.6633383150562123,True,0.6166462453006113,True,1.0,0.544871482560062,0.6379480553028558,0.3575550568077686,0.3384746592378015,0.6666666666666666,0.4876154019801256,True
0012_11_frame001,real_vggt_baseline_only,0.35827478755344805,0.01671019408736304,182,0.14285714285714285,0.04945054945054945,0.0989010989010989,1.521978021978022,0.05145815301211228,0.3682742917566447,213,0.7652582159624414,13,0.6744367828140646,0.34289788322099013,0.6922034132414864,True,0.6213415791192936,True,1.0,0.523589848003247,0.6011218800034761,0.32996339684234083,0.3126016838393828,0.6666666666666666,0.4709819833342097,True
0012_11_frame001,same_topology_no_semantic,0.15739636119859873,0.008973168734849346,171,0.9064327485380117,0.5614035087719298,0.05847953216374269,3.853801169590643,0.45278133222452854,0.6707459556113927,469,1.0,1,0.9918997256760981,0.560761119227958,0.4928985572209534,True,0.6795063062034509,False,1.0,0.24620819246339604,0.33243448921721386,0.0,0.7180942482262418,0.3333333333333333,0.6153839052366847,True
0012_11_frame001,shuffled_smpl_feature,0.42806587854574085,0.022366011756291333,183,0.4918032786885246,0.22950819672131148,0.0,2.7049180327868854,0.21633174099154454,0.5869697240999322,380,0.9578947368421052,10,0.9673200908470041,0.5144739060921342,0.5324836718358604,True,0.6870159234508046,False,1.0,0.26589585363508916,0.3794194471842496,0.0,0.586577806982865,0.6666666666666666,0.5938432340771227,True
0013_01_frame001,patch_skeleton_volume_true,0.35197276236094405,0.010756032457339196,208,0.16346153846153846,0.07692307692307693,0.10576923076923077,1.7307692307692308,0.09055761214572071,0.39111684841978,276,0.8297101449275363,13,0.7394099205360547,0.36374938130222234,0.6720106964233696,True,0.6172527943301671,True,1.0,0.5832645710020927,0.6769447462172606,0.3318635590334821,0.30989997808858283,0.6666666666666666,0.48036095129507694,True
0013_01_frame001,patch_local_decoder_true,0.3556996621928438,0.01079589456178065,218,0.15137614678899083,0.09174311926605505,0.10091743119266056,1.7798165137614679,0.1025529848328519,0.383903399180338,306,0.9444444444444444,11,0.7144608115979607,0.3764631989511633,0.6587198028352733,True,0.6399105061741723,True,1.0,0.5611593202989104,0.6482422586211594,0.16775318659231475,0.29220865394657847,0.6666666666666666,0.4976489602737475,True
