case,prediction,ply,shell_mask_ratio,human_pca_thickness_ratio,human_z_range,model_owned_student_output,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference
0012_11_frame001,D:\vggt\vggt-canonical-surfel-adapter\output\V13010000000000000000_volume_shell_repair_candidate\0012_11_frame001\volume_shell_repair_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V13010000000000000000_volume_shell_repair_candidate\0012_11_frame001\volume_shell_repair_true\full_scene_rgb_pointcloud.ply,0.14671666666666666,0.44491205859851196,0.24407774209976196,True,False,False
0013_01_frame001,D:\vggt\vggt-canonical-surfel-adapter\output\V13010000000000000000_volume_shell_repair_candidate\0013_01_frame001\volume_shell_repair_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V13010000000000000000_volume_shell_repair_candidate\0013_01_frame001\volume_shell_repair_true\full_scene_rgb_pointcloud.ply,0.15696666666666667,0.4157545251880602,0.24057883024215698,True,False,False
0021_03_frame001,D:\vggt\vggt-canonical-surfel-adapter\output\V13010000000000000000_volume_shell_repair_candidate\0021_03_frame001\volume_shell_repair_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V13010000000000000000_volume_shell_repair_candidate\0021_03_frame001\volume_shell_repair_true\full_scene_rgb_pointcloud.ply,0.16286666666666666,0.40240575733924927,0.24953711032867432,True,False,False
current_v895_0021_03,D:\vggt\vggt-canonical-surfel-adapter\output\V13010000000000000000_volume_shell_repair_candidate\current_v895_0021_03\volume_shell_repair_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V13010000000000000000_volume_shell_repair_candidate\current_v895_0021_03\volume_shell_repair_true\full_scene_rgb_pointcloud.ply,0.1614,0.4009705638295691,0.24892091751098633,True,False,False
