case,posed_world_delta_mean,posed_world_delta_p95,v190_span_x,v190_span_y,v190_span_z,principal_vertical_alignment_abs_y,human_ratio,v187_v190_center_delta,coordinate_mismatch_likely,upright_pose_frame_fail
0012_11_frame001,0.014143028296530247,0.030369414016604424,0.594640851020813,1.764500379562378,0.6362872123718262,0.9969643100940886,0.7142857142857143,0.04796738922595978,False,False
0013_01_frame001,0.014318548142910004,0.031081510707736015,0.5262101888656616,1.7661291360855103,0.40496012568473816,0.9998080992751864,0.7142857142857143,0.029724813997745514,False,False
0021_03_frame001,0.013213451951742172,0.03690763935446739,0.8981911540031433,1.4822231531143188,0.7590951323509216,0.9817907276084485,0.7142857142857143,0.04888370633125305,False,False
current_v895_0021_03,0.011466155759990215,0.029510866850614548,0.8939485549926758,1.474682092666626,0.7588610649108887,0.977087820043838,0.7142857142857143,0.04288412630558014,False,False
