case,config,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,adjacency_collision_score_v4,adjacency_collision_fail_v4,part_presence_score,valid_contact_score,invalid_overlap_penalty,adjacent_overmerge_penalty,distant_separation_score,semantic_order_score,combined_topology_volume_score_v4,combined_fail_v4
0012_11_frame001,part_coverage_canonical_surfel_true,0.3474945815766733,0.049931618873907395,150,0.8733333333333333,0.6266666666666667,0.04,4.04,0.47246843406963573,0.8052253941595924,424,1.0,1,0.9905221562036925,0.6570418931138033,0.40737613841896403,True,0.6564873545326605,False,1.0,0.23181564036589108,0.3944055467769398,0.0,0.6559046727642462,0.3333333333333333,0.6567868053664776,True
0012_11_frame001,multishell_topology_decoder_true,0.4503703313547338,0.05442627337071812,163,0.7484662576687117,0.558282208588957,0.012269938650306749,3.803680981595092,0.3492709388108353,0.8522253684342446,505,0.9821782178217822,7,0.6004012126543563,0.6310092907777177,0.4480371607573153,True,0.5301360606531834,True,1.0,0.5211823536513085,0.8333357110997494,0.4710808912595311,0.38094457401508147,0.3333333333333333,0.584607604920432,True
0012_11_frame001,part_pair_exclusion_true,0.7124938147925851,0.15289864402110484,163,0.5828220858895705,0.3803680981595092,0.0,3.067484662576687,0.28355029982492347,1.174874476330041,403,0.9900744416873449,3,0.5608142137892506,0.5584975037206235,0.551051676831548,True,0.5119657611784103,True,1.0,0.6131081459708071,0.9189898622303171,0.6569851186670567,0.44570988702223824,0.3333333333333333,0.5370929021512054,True
0012_11_frame001,real_vggt_baseline_only,0.358274787553449,0.016710194087364703,182,0.14285714285714285,0.04945054945054945,0.0989010989010989,1.521978021978022,0.05145815301211228,0.3682742917566447,213,0.7652582159624414,13,1.0,0.3591760440802873,0.6702858992602442,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
0012_11_frame001,same_topology_no_semantic,0.1573963611985987,0.008973168734849345,171,0.9064327485380117,0.5614035087719298,0.05847953216374269,3.853801169590643,0.45278133222452854,0.6707459556113927,469,1.0,1,1.0,0.5611661329441531,0.4924935435047583,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
0012_11_frame001,shuffled_smpl_feature,0.42806587854573946,0.02236601175629068,183,0.4918032786885246,0.22950819672131148,0.0,2.7049180327868854,0.21633174099154454,0.5869697240999322,380,0.9578947368421052,10,1.0,0.5161079015497834,0.5308496763782112,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
0012_11_frame001,thickness_only_control,0.4339681069233774,0.04425350873284701,178,0.20224719101123595,0.07865168539325842,0.05056179775280899,1.803370786516854,0.10026141137410166,0.3528963580671752,261,0.8582375478927203,8,1.0,0.42063528728923866,0.6075964213561353,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
0012_11_frame001,posthoc_surfel_only,0.3529513293762969,0.016463453837703864,172,0.16279069767441862,0.06395348837209303,0.12209302325581395,1.6046511627906976,0.06290431709013833,0.580541260368294,223,0.8565022421524664,12,1.0,0.376857376679488,0.6695859241499755,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
0012_11_frame001,tiny_synthetic_token_control,0.35818457888962774,0.01669086222981836,170,0.1588235294117647,0.058823529411764705,0.11176470588235295,1.5941176470588236,0.05445479886914762,0.4143255570143156,211,0.7488151658767772,16,1.0,0.3644697297130483,0.6686763148480969,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
0013_01_frame001,part_coverage_canonical_surfel_true,0.24092640249098468,0.030661963986468997,180,0.9388888888888889,0.85,0.3888888888888889,5.311111111111111,0.5844097626276203,0.774936457539394,667,1.0,1,0.9982609994452267,0.7199395738165015,0.34205534278665,False,0.6869657959726899,False,1.0,0.27766779853858276,0.4090485816165608,0.024509588925731986,0.6596757736611418,0.6666666666666666,0.7047716360083482,False
0013_01_frame001,multishell_topology_decoder_true,0.386106667554303,0.0304899589243628,181,0.6243093922651933,0.4198895027624309,0.03867403314917127,3.132596685082873,0.2676492493502572,0.862099329777251,496,0.9858870967741935,6,0.6312659503306758,0.548878480676602,0.5346614293327382,True,0.540213832287087,True,1.0,0.5866033610586687,0.8408600167783623,0.5541892422876008,0.4707012379901705,0.3333333333333333,0.5448927424174251,True
0013_01_frame001,part_pair_exclusion_true,0.6669062260969687,0.054631421390433824,136,0.6397058823529411,0.4485294117647059,0.014705882352941176,3.2058823529411766,0.2891762664910016,1.0646226515361221,341,0.9618768328445748,10,0.6719699490200177,0.5863990974202609,0.5082128541400082,True,0.5837436221090457,True,1.0,0.5653869636595391,0.7606124349093093,0.5413134956489166,0.4914378184151014,0.6666666666666666,0.5851775787771019,True
0013_01_frame001,real_vggt_baseline_only,0.3321545928222589,0.010730958107688739,213,0.10328638497652583,0.06103286384976526,0.10328638497652583,1.4131455399061033,0.040439742811614714,0.32217740767764763,235,0.8978723404255319,15,1.0,0.3529421859619089,0.6728320066523029,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
0013_01_frame001,same_topology_no_semantic,0.13344995876017698,0.010166350177534785,181,0.9668508287292817,0.8397790055248618,0.2154696132596685,5.093922651933702,0.5708784251950574,0.7057277251832829,638,1.0,1,1.0,0.6438028617027225,0.4126553563119401,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
0013_01_frame001,shuffled_smpl_feature,0.3899662692407471,0.013256562356243803,208,0.7932692307692307,0.3125,0.10096153846153846,3.1971153846153846,0.24307403453872342,0.5399824030297004,479,0.9331941544885177,9,1.0,0.5869365525898297,0.45626203965254636,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
