case,config,prediction,ply,steps,max_points,device,history_json,model_owned_student_output,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,facial_detail_target_applicable,face_detail_claim_allowed,feature_bank_fallback_used,infill_aligned_to_baseline_frame,alignment_type,alignment_axis_scale_json,connected_infill_points,connected_infill_distance_mean,part_quota_json,strict_preserve_ratio,strict_preserve_conf_mean,strict_weak_nonpreserve_mean,part_local_edit_ratio,v20410_target_npz,visible_lock_ratio,part_local_target_ratio,part_local_target_points,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,adjacency_collision_score_v4,adjacency_collision_fail_v4,part_presence_score,valid_contact_score,invalid_overlap_penalty,adjacent_overmerge_penalty,distant_separation_score,semantic_order_score,combined_topology_volume_score_v4,combined_fail_v4
0012_11_frame001,part_local_target_student_true,/workspace/repo/output/V20420000000000000000_part_local_target_student/0012_11_frame001/part_local_target_student_true/predictions.npz,/workspace/repo/output/V20420000000000000000_part_local_target_student/0012_11_frame001/part_local_target_student_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 1.2230780124664307, ""pose_width"": 0.0037999944761395454, ""completeness"": 0.0, ""preserve_residual"": 5.411257370724343e-05, ""visible_rgb_lock"": 4.525874373939587e-06, ""preserve_occ"": 0.3704824447631836, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 2.363443374633789}, {""step"": 50, ""loss"": 0.7158765196800232, ""pose_width"": 0.0006494872504845262, ""completeness"": 0.0, ""preserve_residual"": 5.579963726631831e-06, ""visible_rgb_lock"": 3.2117766295414185e-06, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.01958834007382393}, {""step"": 100, ""loss"": 0.7009423971176147, ""pose_width"": 0.0005131969228386879, ""completeness"": 0.0, ""preserve_residual"": 1.487797590016271e-06, ""visible_rgb_lock"": 1.2952654060427449e-06, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.009894835762679577}, {""step"": 150, ""loss"": 0.6973695755004883, ""pose_width"": 0.00039528842899017036, ""completeness"": 0.0, ""preserve_residual"": 3.21165629202369e-07, ""visible_rgb_lock"": 3.839997759769176e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.0029405623208731413}, {""step"": 200, ""loss"": 0.6967942714691162, ""pose_width"": 0.0003517516306601465, ""completeness"": 0.0, ""preserve_residual"": 2.439237221096846e-07, ""visible_rgb_lock"": 3.1644509590478265e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.008641033433377743}, {""step"": 250, ""loss"": 0.6965894103050232, ""pose_width"": 0.0003316147776786238, ""completeness"": 0.0, ""preserve_residual"": 2.2661919274469255e-07, ""visible_rgb_lock"": 2.7642363420454785e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.01016902644187212}, {""step"": 300, ""loss"": 0.6964711546897888, ""pose_width"": 0.00032334105344489217, ""completeness"": 0.0, ""preserve_residual"": 1.5976235090420232e-07, ""visible_rgb_lock"": 2.3718490638202638e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.010176359675824642}]",True,False,False,False,False,False,True,robust_per_axis_v950_to_v140,"[0.4353169798851013, 0.3149559795856476, 0.18000000715255737]",2,0.010140727274119854,"{""target_infill"": 5200, ""target_mask_points"": 2659, ""target_parts"": [0], ""part_0_target"": 2659, ""part_0_quota"": 2860, ""part_0_selected"": 2, ""selected_infill"": 2, ""mean_visible_distance"": 0.010140727274119854, ""mean_target_distance"": 0.012137208133935928}",0.9701666666666666,1.0,0.6327206492424011,0.044316666666666664,/workspace/repo/output/V20410000000000000000_part_local_targets/0012_11_frame001/part_local_targets.npz,0.52,0.044316666666666664,2659,0.3560467920297187,0.018610921193261406,179,0.12849162011173185,0.055865921787709494,0.1005586592178771,1.5363128491620113,0.05552360028137141,0.4061447382659846,212,0.7688679245283019,12,0.6880354449475414,0.34173938767289574,0.6963915445103279,True,0.6254518333145088,True,1.0,0.5223698982553533,0.5923507753005367,0.3321415825895691,0.3401411449365544,0.6666666666666666,0.47224711266803776,True
0013_01_frame001,part_local_target_student_true,/workspace/repo/output/V20420000000000000000_part_local_target_student/0013_01_frame001/part_local_target_student_true/predictions.npz,/workspace/repo/output/V20420000000000000000_part_local_target_student/0013_01_frame001/part_local_target_student_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 1.354060411453247, ""pose_width"": 0.003398422384634614, ""completeness"": 0.02904990315437317, ""preserve_residual"": 6.200818461365998e-05, ""visible_rgb_lock"": 1.0644874237186741e-05, ""preserve_occ"": 0.4679301083087921, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 2.9447872638702393}, {""step"": 50, ""loss"": 0.7182116508483887, ""pose_width"": 0.0006317587685771286, ""completeness"": 0.0, ""preserve_residual"": 8.387401067011524e-06, ""visible_rgb_lock"": 5.1994902605656534e-06, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.02385016903281212}, {""step"": 100, ""loss"": 0.7015546560287476, ""pose_width"": 0.0005550169735215604, ""completeness"": 0.0, ""preserve_residual"": 2.251181740575703e-06, ""visible_rgb_lock"": 2.754741217358969e-06, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.011616881005465984}, {""step"": 150, ""loss"": 0.6955395936965942, ""pose_width"": 0.00040130180423147976, ""completeness"": 0.0, ""preserve_residual"": 5.309913149176282e-07, ""visible_rgb_lock"": 6.836591524006508e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.006000874098390341}, {""step"": 200, ""loss"": 0.6946247220039368, ""pose_width"": 0.0003465294139459729, ""completeness"": 0.0, ""preserve_residual"": 2.8688407383015146e-07, ""visible_rgb_lock"": 4.824868824471196e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.007242310792207718}, {""step"": 250, ""loss"": 0.6943600177764893, ""pose_width"": 0.0003302263212390244, ""completeness"": 0.0, ""preserve_residual"": 2.3541370808288775e-07, ""visible_rgb_lock"": 3.7385069617812405e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.009034233167767525}, {""step"": 300, ""loss"": 0.6942374110221863, ""pose_width"": 0.0003247108543291688, ""completeness"": 0.0, ""preserve_residual"": 1.9513622362410388e-07, ""visible_rgb_lock"": 3.0541818318852165e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.009411443024873734}]",True,False,False,False,False,False,True,robust_per_axis_v950_to_v140,"[0.46477022767066956, 0.3285066485404968, 0.22002629935741425]",31,0.002535936189815402,"{""target_infill"": 2438, ""target_mask_points"": 1219, ""target_parts"": [0, 1], ""part_0_target"": 641, ""part_0_quota"": 1282, ""part_0_selected"": 2, ""part_1_target"": 578, ""part_1_quota"": 1156, ""part_1_selected"": 29, ""selected_infill"": 31, ""mean_visible_distance"": 0.002535936189815402, ""mean_target_distance"": 0.007216122467070818}",0.9871333333333333,1.0,0.6275384426116943,0.020316666666666667,/workspace/repo/output/V20410000000000000000_part_local_targets/0013_01_frame001/part_local_targets.npz,0.52,0.020316666666666667,1219,0.332001543029211,0.011569159663332556,214,0.11214953271028037,0.056074766355140186,0.10747663551401869,1.4345794392523366,0.03860073541478022,0.34418054712673934,235,0.8978723404255319,14,0.7048722682658444,0.3394981656725479,0.6925070079496007,True,0.6346232738023736,True,1.0,0.5882822050472039,0.6510378911518085,0.23875746315019322,0.2852223625308023,0.6666666666666666,0.47525571541226774,True
0021_03_frame001,part_local_target_student_true,/workspace/repo/output/V20420000000000000000_part_local_target_student/0021_03_frame001/part_local_target_student_true/predictions.npz,/workspace/repo/output/V20420000000000000000_part_local_target_student/0021_03_frame001/part_local_target_student_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 1.2735166549682617, ""pose_width"": 0.002843189984560013, ""completeness"": 0.0, ""preserve_residual"": 3.79114571842365e-05, ""visible_rgb_lock"": 1.535724732093513e-05, ""preserve_occ"": 0.4115481376647949, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 2.444211959838867}, {""step"": 50, ""loss"": 0.7311275005340576, ""pose_width"": 0.00043488945811986923, ""completeness"": 0.0, ""preserve_residual"": 3.5785046748060267e-06, ""visible_rgb_lock"": 6.88563068251824e-06, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.035284824669361115}, {""step"": 100, ""loss"": 0.7139808535575867, ""pose_width"": 0.0003786857705563307, ""completeness"": 0.0, ""preserve_residual"": 1.1698029993567616e-06, ""visible_rgb_lock"": 1.2060081644449383e-06, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.009287683293223381}, {""step"": 150, ""loss"": 0.7099911570549011, ""pose_width"": 0.00031745003070682287, ""completeness"": 0.0, ""preserve_residual"": 5.479042783917976e-07, ""visible_rgb_lock"": 3.1553673807138694e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.005423113238066435}, {""step"": 200, ""loss"": 0.7088977098464966, ""pose_width"": 0.0002806080156005919, ""completeness"": 0.0, ""preserve_residual"": 4.06565135335768e-07, ""visible_rgb_lock"": 2.6292545385331323e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.006414544768631458}, {""step"": 250, ""loss"": 0.7084171772003174, ""pose_width"": 0.00026376062305644155, ""completeness"": 0.0, ""preserve_residual"": 3.490271751616092e-07, ""visible_rgb_lock"": 2.3884805955276533e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.006902005523443222}, {""step"": 300, ""loss"": 0.7081258296966553, ""pose_width"": 0.00025851119426079094, ""completeness"": 0.0, ""preserve_residual"": 2.8307127308835334e-07, ""visible_rgb_lock"": 2.0962629321275017e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.04383809491991997}]",True,False,False,False,False,False,True,robust_per_axis_v950_to_v140,"[0.5570809245109558, 0.38094890117645264, 0.18000000715255737]",25,0.003943540155887604,"{""target_infill"": 3134, ""target_mask_points"": 1567, ""target_parts"": [0], ""part_0_target"": 1567, ""part_0_quota"": 1723, ""part_0_selected"": 25, ""selected_infill"": 25, ""mean_visible_distance"": 0.003943540155887604, ""mean_target_distance"": 0.006362909451127052}",0.9798833333333333,0.979252278804779,0.6321507692337036,0.026116666666666667,/workspace/repo/output/V20410000000000000000_part_local_targets/0021_03_frame001/part_local_targets.npz,0.31055,0.026116666666666667,1567,0.32235074679531267,0.023742772702215,161,0.2981366459627329,0.15527950310559005,0.11180124223602485,2.1055900621118013,0.0874212815021354,0.5319741182740058,293,0.9146757679180887,12,0.45849780636849347,0.3837189553485985,0.6781627483442834,True,0.5706069471781061,True,1.0,0.5591383433181322,0.7942205247401577,0.457856462349351,0.33091598486527557,0.6666666666666666,0.46968743159017207,True
current_v895_0021_03,part_local_target_student_true,/workspace/repo/output/V20420000000000000000_part_local_target_student/current_v895_0021_03/part_local_target_student_true/predictions.npz,/workspace/repo/output/V20420000000000000000_part_local_target_student/current_v895_0021_03/part_local_target_student_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 1.2285442352294922, ""pose_width"": 0.0034905890934169292, ""completeness"": 0.0, ""preserve_residual"": 3.771780029637739e-05, ""visible_rgb_lock"": 4.743855242850259e-06, ""preserve_occ"": 0.3739820122718811, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 2.4831485748291016}, {""step"": 50, ""loss"": 0.7251245379447937, ""pose_width"": 0.000566841394174844, ""completeness"": 0.0, ""preserve_residual"": 7.476515747839585e-06, ""visible_rgb_lock"": 2.7486419185152045e-06, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.027174923568964005}, {""step"": 100, ""loss"": 0.7070080637931824, ""pose_width"": 0.0005345501704141498, ""completeness"": 0.0, ""preserve_residual"": 1.24476287055586e-06, ""visible_rgb_lock"": 4.553437236154423e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.009329442866146564}, {""step"": 150, ""loss"": 0.70287024974823, ""pose_width"": 0.00047181939589791, ""completeness"": 0.0, ""preserve_residual"": 5.935964395575866e-07, ""visible_rgb_lock"": 2.846063580363989e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.00498938700184226}, {""step"": 200, ""loss"": 0.7011352777481079, ""pose_width"": 0.0004211245395708829, ""completeness"": 0.0, ""preserve_residual"": 6.151591378511512e-07, ""visible_rgb_lock"": 2.560545340202225e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.007151925470679998}, {""step"": 250, ""loss"": 0.7003093957901001, ""pose_width"": 0.0003696788044180721, ""completeness"": 0.0, ""preserve_residual"": 8.864634537530947e-07, ""visible_rgb_lock"": 2.0113679966016207e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.06333646178245544}, {""step"": 300, ""loss"": 0.6999449133872986, ""pose_width"": 0.0003417984989937395, ""completeness"": 0.0, ""preserve_residual"": 3.7501837368836277e-07, ""visible_rgb_lock"": 1.7849384903456667e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.3199999928474426, ""target_occ"": 0.550000011920929, ""outside_occ"": 0.0, ""floating"": 0.0, ""grad_norm"": 0.016456862911581993}]",True,False,False,False,False,False,True,robust_per_axis_v950_to_v140,"[0.5555160045623779, 0.3801652491092682, 0.18000000715255737]",3108,0.028390876948833466,"{""target_infill"": 3108, ""target_mask_points"": 1554, ""target_parts"": [0], ""selected_infill"": 3108, ""mean_visible_distance"": 0.028390876948833466, ""mean_target_distance"": 0.04608374089002609}",0.97925,0.9724161028862,0.6443701386451721,0.0259,/workspace/repo/output/V20410000000000000000_part_local_targets/current_v895_0021_03/part_local_targets.npz,0.3178,0.0259,1554,0.3881165815029565,0.023515733577397484,157,0.35668789808917195,0.15286624203821655,0.01910828025477707,2.254777070063694,0.1361208717251077,0.5137421569142427,309,0.9838187702265372,4,0.4466735395035913,0.4254583632773461,0.6370987806521388,True,0.5565107397567844,True,1.0,0.599836360287212,0.8351653868325275,0.5411688344156628,0.30713429081613347,0.6666666666666666,0.4857424564578878,True
