case,config,human_points,environment_points,human_ratio,same_point_budget,same_environment_budget,copied_from_v190,copied_from_v740,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,mask_inside_ratio,edge_alignment,rgb_residual,silhouette_coverage,fair_3d_score,prediction_npz,ply
0021_03_frame001,tiny_synthetic_token_control,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9473,0.020766666666666666,0.04141699895262718,0.9851301115241635,0.7459114614238488,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0021_03_frame001\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0021_03_frame001\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply
0021_03_frame001,shuffled_smpl_feature,60000,24000,0.7142857142857143,True,True,False,False,False,False,1.0,0.10751666666666666,0.19151462614536285,1.0,0.7564259081042608,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0021_03_frame001\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0021_03_frame001\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply
0021_03_frame001,source_label_only_control,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9915166666666667,0.0524,0.20033331215381622,1.0,0.7392706709025701,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0021_03_frame001\source_label_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0021_03_frame001\source_label_only_control\full_scene_rgb_pointcloud.ply
0021_03_frame001,scaffold_only_no_vggt,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.5909833333333333,0.028283333333333334,0.19775162637233734,0.6654275092936803,0.5224263853822859,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0021_03_frame001\scaffold_only_no_vggt\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0021_03_frame001\scaffold_only_no_vggt\full_scene_rgb_pointcloud.ply
0012_11_frame001,real_per_case_residual_true,60000,24000,0.7142857142857143,True,True,False,False,False,False,1.0,0.10856666666666667,0.0,1.0,0.7949703333333333,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\real_per_case_residual_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\real_per_case_residual_true\full_scene_rgb_pointcloud.ply
0012_11_frame001,real_vggt_baseline_only,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9958333333333333,0.05305,0.0,1.0,0.7808681666666666,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply
0012_11_frame001,posthoc_surfel_only,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9958333333333333,0.05305,0.0,1.0,0.7808681666666666,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\posthoc_surfel_only\full_scene_rgb_pointcloud.ply
0012_11_frame001,same_topology_no_semantic,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.868,0.028266666666666666,0.09994614869356155,0.8211586901763224,0.6695617761387016,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\same_topology_no_semantic\full_scene_rgb_pointcloud.ply
0012_11_frame001,tiny_synthetic_token_control,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9885,0.024066666666666667,0.033806923776865005,0.9571788413098237,0.7543886589054163,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply
0012_11_frame001,shuffled_smpl_feature,60000,24000,0.7142857142857143,True,True,False,False,False,False,1.0,0.10856666666666667,0.16692781448364258,1.0,0.7615847704366048,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply
