case_id,true_mean_score,max_control_name,max_control_score,score_margin,controls_weaker,real_vggt_token_gradient_pass,smpl_feature_gradient_pass,binding_delta_pass,posthoc_surfel_beaten,tiny_synthetic_beaten,control_scores_json
current_v895_0021_03,0.7558913027876711,same_topology_no_semantic,0.4175124793623517,0.33837882342531944,True,True,True,True,True,True,"{""real_vggt_no_smpl_feature"": 0.363056347603488, ""real_vggt_random_smpl_feature"": 0.33549468651753683, ""real_vggt_shuffled_smpl_feature"": 0.3090161366503336, ""same_topology_no_semantic"": 0.4175124793623517, ""real_vggt_baseline_only"": -0.12, ""posthoc_surfel_only"": 0.008815305781324868, ""tiny_v330_synthetic_token_control"": 0.40796032838311624, ""smpl_only_template_control"": 0.2117705991660671, ""source_label_only_control"": -0.12}"
0021_03_frame001,0.6526475992887025,real_vggt_no_smpl_feature,0.5207064837746078,0.1319411155140947,True,True,True,True,True,True,"{""real_vggt_no_smpl_feature"": 0.5207064837746078, ""real_vggt_random_smpl_feature"": 0.3774180480082284, ""real_vggt_shuffled_smpl_feature"": 0.25795272159261995, ""same_topology_no_semantic"": 0.3616174358147468, ""real_vggt_baseline_only"": -0.12, ""posthoc_surfel_only"": 0.029537635421850044, ""tiny_v330_synthetic_token_control"": 0.2943131134809457, ""smpl_only_template_control"": 0.25883146376798516, ""source_label_only_control"": -0.12}"
0012_11_frame001,0.6996485118868151,real_vggt_no_smpl_feature,0.48133496616967025,0.21831354571714484,True,True,True,True,True,True,"{""real_vggt_no_smpl_feature"": 0.48133496616967025, ""real_vggt_random_smpl_feature"": 0.32898445271851845, ""real_vggt_shuffled_smpl_feature"": 0.21626931209859948, ""same_topology_no_semantic"": 0.3479705208327738, ""real_vggt_baseline_only"": -0.12, ""posthoc_surfel_only"": 0.02746566791510612, ""tiny_v330_synthetic_token_control"": 0.16682095226292876, ""smpl_only_template_control"": 0.3128589263420724, ""source_label_only_control"": -0.12}"
0013_01_frame001,0.6930518792769663,smpl_only_template_control,0.3548467480687765,0.33820513120818985,True,True,True,True,True,True,"{""real_vggt_no_smpl_feature"": 0.12996344259008766, ""real_vggt_random_smpl_feature"": 0.34819177372313, ""real_vggt_shuffled_smpl_feature"": 0.23068123862173273, ""same_topology_no_semantic"": 0.35196862165099535, ""real_vggt_baseline_only"": -0.12, ""posthoc_surfel_only"": 0.03065038624470471, ""tiny_v330_synthetic_token_control"": 0.2814527742392113, ""smpl_only_template_control"": 0.3548467480687765, ""source_label_only_control"": -0.12}"
