case,repair_thickness,real_vggt_baseline_only_thickness,shuffled_smpl_feature_thickness,thickness_only_control_thickness,same_topology_no_semantic_thickness,fail_control_count,fail_controls_json
0012_11_frame001,0.44491205859851196,0.35827478755344805,0.42806587854574085,0.43396810692337995,0.15739636119859873,0,{}
0013_01_frame001,0.4157545251880602,0.33215459282226123,0.38996626924074734,0.4223742724754062,0.13344995876017693,1,"{""thickness_only_control"": 0.4223742724754062}"
0021_03_frame001,0.40240575733924927,0.3299654900634827,0.3172641512165774,0.3885950871270487,0.11793869604529122,0,{}
current_v895_0021_03,0.4009705638295691,0.32951297240292293,0.3188889673124259,0.3885776878673228,0.12963162366131187,0,{}
