case,config,missing,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2
0012_11_frame001,anti_billboard_topology_volume_true,False,0.4297626615837001,0.028152382798732688,183,0.3333333333333333,0.13114754098360656,0.0273224043715847,2.1639344262295084,0.15864252916345478,0.490410689309381,304,0.8618421052631579,13,0.6258794305461164,0.43837010954060435,0.6095326346466328,True
0012_11_frame001,real_vggt_baseline_only,False,0.358274787553449,0.016710194087364703,182,0.14285714285714285,0.04945054945054945,0.0989010989010989,1.521978021978022,0.05145815301211228,0.3682742917566447,213,0.7652582159624414,13,1.0,0.3591760440802873,0.6702858992602442,True
0012_11_frame001,posthoc_surfel_only,False,0.3529513293762969,0.016463453837703864,172,0.16279069767441862,0.06395348837209303,0.12209302325581395,1.6046511627906976,0.06290431709013833,0.580541260368294,223,0.8565022421524664,12,1.0,0.376857376679488,0.6695859241499755,True
0012_11_frame001,same_topology_no_semantic,False,0.1573963611985987,0.008973168734849345,171,0.9064327485380117,0.5614035087719298,0.05847953216374269,3.853801169590643,0.45278133222452854,0.6707459556113927,469,1.0,1,1.0,0.5611661329441531,0.4924935435047583,True
0012_11_frame001,tiny_synthetic_token_control,False,0.35818457888962774,0.01669086222981836,170,0.1588235294117647,0.058823529411764705,0.11176470588235295,1.5941176470588236,0.05445479886914762,0.4143255570143156,211,0.7488151658767772,16,1.0,0.3644697297130483,0.6686763148480969,True
0012_11_frame001,shuffled_smpl_feature,False,0.42806587854573946,0.02236601175629068,183,0.4918032786885246,0.22950819672131148,0.0,2.7049180327868854,0.21633174099154454,0.5869697240999322,380,0.9578947368421052,10,1.0,0.5161079015497834,0.5308496763782112,True
0012_11_frame001,baseline_preservation_only,False,0.358274787553449,0.016710194087364703,182,0.14285714285714285,0.04945054945054945,0.0989010989010989,1.521978021978022,0.05145815301211228,0.3682742917566447,213,0.7652582159624414,13,1.0,0.3591760440802873,0.6702858992602442,True
0012_11_frame001,thickness_only_control,False,0.4339681069233774,0.04425350873284701,178,0.20224719101123595,0.07865168539325842,0.05056179775280899,1.803370786516854,0.10026141137410166,0.3528963580671752,261,0.8582375478927203,8,1.0,0.42063528728923866,0.6075964213561353,True
0013_01_frame001,anti_billboard_topology_volume_true,False,0.4302789803204337,0.025420418237586898,186,0.3602150537634409,0.16129032258064516,0.03225806451612903,2.1666666666666665,0.1251249213769108,0.5013753335325043,354,0.8983050847457628,13,0.5867093554298631,0.44722775145541044,0.6052236333016766,True
0013_01_frame001,real_vggt_baseline_only,False,0.3321545928222589,0.010730958107688739,213,0.10328638497652583,0.06103286384976526,0.10328638497652583,1.4131455399061033,0.040439742811614714,0.32217740767764763,235,0.8978723404255319,15,1.0,0.3529421859619089,0.6728320066523029,True
0013_01_frame001,posthoc_surfel_only,False,0.32389897620309216,0.010613505336144687,206,0.13592233009708737,0.06796116504854369,0.10679611650485436,1.5242718446601942,0.048386677548327914,0.5091588434197475,245,0.7591836734693878,15,1.0,0.3441530491438291,0.6965796583297507,True
0013_01_frame001,same_topology_no_semantic,False,0.13344995876017698,0.010166350177534785,181,0.9668508287292817,0.8397790055248618,0.2154696132596685,5.093922651933702,0.5708784251950574,0.7057277251832829,638,1.0,1,1.0,0.6438028617027225,0.4126553563119401,True
0013_01_frame001,tiny_synthetic_token_control,False,0.329645525912651,0.010677855935090986,187,0.13903743315508021,0.058823529411764705,0.11229946524064172,1.53475935828877,0.045459257005528345,0.33988717899814697,229,0.7292576419213974,17,1.0,0.3436050810464271,0.6835858932734247,True
0013_01_frame001,shuffled_smpl_feature,False,0.3899662692407471,0.013256562356243803,208,0.7932692307692307,0.3125,0.10096153846153846,3.1971153846153846,0.24307403453872342,0.5399824030297004,479,0.9331941544885177,9,1.0,0.5869365525898297,0.45626203965254636,True
0013_01_frame001,baseline_preservation_only,False,0.3321545928222589,0.010730958107688739,213,0.10328638497652583,0.06103286384976526,0.10328638497652583,1.4131455399061033,0.040439742811614714,0.32217740767764763,235,0.8978723404255319,15,1.0,0.3529421859619089,0.6728320066523029,True
0013_01_frame001,thickness_only_control,False,0.42237427247540965,0.027292374135194673,197,0.17766497461928935,0.07614213197969544,0.08629441624365482,1.736040609137056,0.08726566181922416,0.35005589212378935,272,0.8235294117647058,11,1.0,0.40997880783769064,0.6180256635322124,True
0021_03_frame001,anti_billboard_topology_volume_true,False,0.4320620802420226,0.025090784188411607,167,0.40119760479041916,0.17365269461077845,0.005988023952095809,2.3652694610778444,0.13592091739425113,0.5959483028577018,346,0.9826589595375722,6,0.5592188907442637,0.46268985660744777,0.5976314750850316,True
0021_03_frame001,real_vggt_baseline_only,False,0.3299654900634798,0.021135213078961698,160,0.3125,0.175,0.1,2.16875,0.09960661646631237,0.5038808900704363,292,0.952054794520548,10,1.0,0.42397473523682466,0.6163357359688103,True
0021_03_frame001,posthoc_surfel_only,False,0.32373014412533785,0.02077764583564413,157,0.3248407643312102,0.18471337579617833,0.10191082802547771,2.2038216560509554,0.09865265758263116,0.6241782498805872,297,0.9595959595959596,8,1.0,0.4258749025282402,0.6240593574622068,True
0021_03_frame001,same_topology_no_semantic,False,0.11793869604529086,0.00785801253905394,132,0.8409090909090909,0.6212121212121212,0.007575757575757576,4.007575757575758,0.45605486217856084,0.7383278852728969,374,1.0,1,1.0,0.5310976227401352,0.5279686080816965,True
0021_03_frame001,tiny_synthetic_token_control,False,0.32740281930957565,0.02081769309553632,166,0.3253012048192771,0.18674698795180722,0.08433734939759036,2.1987951807228914,0.09416154446491355,0.5128857376691544,294,0.8367346938775511,11,1.0,0.4126268167206759,0.6284040422928564,True
0021_03_frame001,shuffled_smpl_feature,False,0.31726415121657886,0.02768005127561669,144,0.5625,0.2986111111111111,0.05555555555555555,3.1041666666666665,0.21220499466086926,0.7546043853453752,343,0.9795918367346939,5,1.0,0.4971418125164344,0.5632265383111956,True
0021_03_frame001,baseline_preservation_only,False,0.3299654900634798,0.021135213078961698,160,0.3125,0.175,0.1,2.16875,0.09960661646631237,0.5038808900704363,292,0.952054794520548,10,1.0,0.42397473523682466,0.6163357359688103,True
0021_03_frame001,thickness_only_control,False,0.3885950871270474,0.050925845073120056,162,0.3333333333333333,0.22839506172839505,0.06790123456790123,2.259259259259259,0.1183261145058746,0.5169345642789989,322,0.9565217391304348,12,1.0,0.46322618975536667,0.5781285753869533,True
current_v895_0021_03,anti_billboard_topology_volume_true,False,0.39632849710265966,0.02365702079835279,164,0.3597560975609756,0.17682926829268292,0.012195121951219513,2.341463414634146,0.14709831124141615,0.6219355306765405,316,0.9810126582278481,4,0.4849655470623704,0.43583510984010304,0.63230901734644,True
current_v895_0021_03,real_vggt_baseline_only,False,0.3295129724029196,0.022347418462169113,161,0.30434782608695654,0.16770186335403728,0.11801242236024845,2.1739130434782608,0.10591273075629729,0.5162101626622235,289,0.9238754325259516,10,1.0,0.4215960286039639,0.6197007844090139,True
current_v895_0021_03,posthoc_surfel_only,False,0.3233726512386623,0.02197282324900902,158,0.34177215189873417,0.16455696202531644,0.12658227848101267,2.2278481012658227,0.10850744757974938,0.6340641783309351,288,0.9652777777777778,8,1.0,0.43131285372442085,0.619412280542054,True
current_v895_0021_03,same_topology_no_semantic,False,0.1296316236613121,0.009116044165050673,124,0.8387096774193549,0.5564516129032258,0.0,3.814516129032258,0.4618188230295765,0.7338961940900729,340,1.0,1,1.0,0.5255679127685778,0.533143782758628,True
current_v895_0021_03,tiny_synthetic_token_control,False,0.3273353248349472,0.022034041904878645,166,0.3192771084337349,0.1566265060240964,0.12048192771084337,2.1566265060240966,0.10510366514469018,0.5109742691298207,299,0.9732441471571907,8,1.0,0.42695540959295164,0.613922531937434,True
current_v895_0021_03,shuffled_smpl_feature,False,0.31888896731242344,0.030285891039187544,146,0.5,0.3013698630136986,0.02054794520547945,2.9452054794520546,0.20760429731571897,0.7914334948988249,329,0.9908814589665653,3,1.0,0.4812033043458524,0.5821113752460536,True
