case,true_thickness,real_vggt_baseline_only_thickness,shuffled_smpl_feature_thickness,thickness_only_control_thickness,same_topology_no_semantic_thickness,posthoc_surfel_only_thickness,tiny_synthetic_token_control_thickness,fail_control_count,fail_controls_json
0012_11_frame001,0.4415256020810116,0.35827478755344805,0.42806587854574085,0.43396810692337995,0.15739636119859873,0.35295132937629675,0.35818457888962696,0,{}
0013_01_frame001,0.4059361769717844,0.33215459282226123,0.38996626924074734,0.4223742724754062,0.13344995876017693,0.32389897620309216,0.3296455259126536,1,"{""thickness_only_control"": 0.4223742724754062}"
0021_03_frame001,0.40646499211115905,0.3299654900634827,0.3172641512165774,0.3885950871270487,0.11793869604529122,0.32373014412533846,0.3274028193095784,0,{}
current_v895_0021_03,0.4052724828284854,0.32951297240292293,0.3188889673124259,0.3885776878673228,0.12963162366131187,0.3233726512386631,0.3273353248349505,0,{}
