case,config,prediction,ply,steps,max_points,device,history_json,model_owned_student_output,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,facial_detail_target_applicable,face_detail_claim_allowed,source_part_count,selected_part_count,mean_anchor_affinity,anchor_scale,feature_bank_fallback_used,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,adjacency_collision_score_v4,adjacency_collision_fail_v4,part_presence_score,valid_contact_score,invalid_overlap_penalty,adjacent_overmerge_penalty,distant_separation_score,semantic_order_score,combined_topology_volume_score_v4,combined_fail_v4
0012_11_frame001,visible_anchor_canonical_surfel_true,/workspace/repo/output/V18700000000000000000_visible_anchor_canonical_surfel_training/0012_11_frame001/visible_anchor_canonical_surfel_true/predictions.npz,/workspace/repo/output/V18700000000000000000_visible_anchor_canonical_surfel_training/0012_11_frame001/visible_anchor_canonical_surfel_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 1.5426145792007446, ""occupancy"": 0.6388905048370361, ""visibility"": 0.537399172782898, ""part"": 0.676992654800415, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.6384983658790588, ""floating_occupancy"": 2.1475163975992473e-06, ""anchor_visibility"": 0.1393202543258667, ""grad_norm"": 6.420727729797363}, {""step"": 50, ""loss"": 0.07027915120124817, ""occupancy"": 0.03122529946267605, ""visibility"": 0.0008087086607702076, ""part"": 0.05483740568161011, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.024838484823703766, ""floating_occupancy"": 3.5994073641631985e-06, ""anchor_visibility"": 0.0, ""grad_norm"": 0.06591221690177917}, {""step"": 100, ""loss"": 0.044981714338064194, ""occupancy"": 0.03064253181219101, ""visibility"": 0.00012087769573554397, ""part"": 0.003742897417396307, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.024049490690231323, ""floating_occupancy"": 3.550824430931243e-06, ""anchor_visibility"": 0.0, ""grad_norm"": 0.02994823455810547}, {""step"": 150, ""loss"": 0.0434732511639595, ""occupancy"": 0.030305519700050354, ""visibility"": 5.334301386028528e-05, ""part"": 0.0014843234093859792, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.023813270032405853, ""floating_occupancy"": 3.329908849991625e-06, ""anchor_visibility"": 0.0, ""grad_norm"": 0.06083410605788231}, {""step"": 200, ""loss"": 0.043027836829423904, ""occupancy"": 0.03025740757584572, ""visibility"": 3.268105865572579e-05, ""part"": 0.000859358231537044, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.023643840104341507, ""floating_occupancy"": 3.233152710890863e-06, ""anchor_visibility"": 0.0, ""grad_norm"": 0.0647633746266365}, {""step"": 250, ""loss"": 0.04257817193865776, ""occupancy"": 0.029915746301412582, ""visibility"": 2.4318767827935517e-05, ""part"": 0.0005747507093474269, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.023491397500038147, ""floating_occupancy"": 2.6114371394214686e-06, ""anchor_visibility"": 0.0, ""grad_norm"": 0.07136449962854385}, {""step"": 300, ""loss"": 0.042924799025058746, ""occupancy"": 0.03031262941658497, ""visibility"": 1.6824858903419226e-05, ""part"": 0.00046866032062098384, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.023724205791950226, ""floating_occupancy"": 3.284782451373758e-06, ""anchor_visibility"": 0.0, ""grad_norm"": 0.0521191731095314}]",True,False,False,False,False,8,8,0.7199529409408569,0.0056243686936795715,False,0.3525741031300588,0.0510700363096875,169,0.8994082840236687,0.6627218934911243,0.04142011834319527,4.236686390532545,0.486040384621033,0.8828745626799415,501,1.0,1,0.9918393960530256,0.6724165550022191,0.39821341001217625,True,0.6557404975182617,False,1.0,0.24841548978602315,0.42292771951858715,0.0,0.6746652139275924,0.3333333333333333,0.6647455685595987,True
0013_01_frame001,visible_anchor_canonical_surfel_true,/workspace/repo/output/V18700000000000000000_visible_anchor_canonical_surfel_training/0013_01_frame001/visible_anchor_canonical_surfel_true/predictions.npz,/workspace/repo/output/V18700000000000000000_visible_anchor_canonical_surfel_training/0013_01_frame001/visible_anchor_canonical_surfel_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 1.711538314819336, ""occupancy"": 0.7168768048286438, ""visibility"": 0.6344658136367798, ""part"": 0.6870167255401611, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.716881513595581, ""floating_occupancy"": 0.0, ""anchor_visibility"": 0.16840845346450806, ""grad_norm"": 6.694236755371094}, {""step"": 50, ""loss"": 0.060133639723062515, ""occupancy"": 0.022367339581251144, ""visibility"": 0.0038043882232159376, ""part"": 0.057487718760967255, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.01728910207748413, ""floating_occupancy"": 0.0, ""anchor_visibility"": 0.0, ""grad_norm"": 0.05605827271938324}, {""step"": 100, ""loss"": 0.03159027546644211, ""occupancy"": 0.020999271422624588, ""visibility"": 0.00036558418651111424, ""part"": 0.0042937216348946095, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.01615745946764946, ""floating_occupancy"": 0.0, ""anchor_visibility"": 0.0, ""grad_norm"": 0.040397901087999344}, {""step"": 150, ""loss"": 0.030133089050650597, ""occupancy"": 0.02079460397362709, ""visibility"": 0.00015686286496929824, ""part"": 0.0016871887492015958, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.016030382364988327, ""floating_occupancy"": 0.0, ""anchor_visibility"": 0.0, ""grad_norm"": 0.06691931933164597}, {""step"": 200, ""loss"": 0.029449302703142166, ""occupancy"": 0.020552072674036026, ""visibility"": 8.548326150048524e-05, ""part"": 0.0009753295453265309, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.016022074967622757, ""floating_occupancy"": 0.0, ""anchor_visibility"": 0.0, ""grad_norm"": 0.07967428863048553}, {""step"": 250, ""loss"": 0.02918693795800209, ""occupancy"": 0.020593564957380295, ""visibility"": 6.065052002668381e-05, ""part"": 0.0006379099795594811, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.015744436532258987, ""floating_occupancy"": 0.0, ""anchor_visibility"": 0.0, ""grad_norm"": 0.0776904821395874}, {""step"": 300, ""loss"": 0.02941783145070076, ""occupancy"": 0.02050219103693962, ""visibility"": 5.742573557654396e-05, ""part"": 0.0004445371450856328, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.016440806910395622, ""floating_occupancy"": 0.0, ""anchor_visibility"": 0.0, ""grad_norm"": 0.1850091516971588}]",True,False,False,False,False,8,8,0.720160961151123,0.005622268877923489,False,0.21870676182618565,0.02059018744929965,184,0.9565217391304348,0.8315217391304348,0.22826086956521738,5.266304347826087,0.5692638716127705,0.8265406460531056,674,1.0,1,0.9893966647083724,0.683291760132381,0.38283149155186746,False,0.6739392847148079,False,1.0,0.2951840081765057,0.43943877272727666,0.083793904495858,0.6407314621206428,0.6666666666666666,0.6789896214402975,False
0021_03_frame001,visible_anchor_canonical_surfel_true,/workspace/repo/output/V18700000000000000000_visible_anchor_canonical_surfel_training/0021_03_frame001/visible_anchor_canonical_surfel_true/predictions.npz,/workspace/repo/output/V18700000000000000000_visible_anchor_canonical_surfel_training/0021_03_frame001/visible_anchor_canonical_surfel_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 1.761147379875183, ""occupancy"": 0.6990437507629395, ""visibility"": 0.7765189409255981, ""part"": 0.6753947734832764, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.6987729072570801, ""floating_occupancy"": 0.014983800239861012, ""anchor_visibility"": 0.17608392238616943, ""grad_norm"": 6.492369651794434}, {""step"": 50, ""loss"": 0.13653898239135742, ""occupancy"": 0.07154236733913422, ""visibility"": 0.002162034623324871, ""part"": 0.052077677100896835, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.07068143784999847, ""floating_occupancy"": 0.00806150957942009, ""anchor_visibility"": 0.0, ""grad_norm"": 0.06181596592068672}, {""step"": 100, ""loss"": 0.10904284566640854, ""occupancy"": 0.06764797866344452, ""visibility"": 0.0005529854097403586, ""part"": 0.005213896278291941, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.06751711666584015, ""floating_occupancy"": 0.008289298042654991, ""anchor_visibility"": 0.0, ""grad_norm"": 0.03674863278865814}, {""step"": 150, ""loss"": 0.10601408779621124, ""occupancy"": 0.06678982079029083, ""visibility"": 0.0002825688570737839, ""part"": 0.002137050498276949, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.06626921892166138, ""floating_occupancy"": 0.008244077675044537, ""anchor_visibility"": 0.0, ""grad_norm"": 0.09524021297693253}, {""step"": 200, ""loss"": 0.10500238090753555, ""occupancy"": 0.06605271995067596, ""visibility"": 0.0001969715958693996, ""part"": 0.001285857055336237, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.0679444670677185, ""floating_occupancy"": 0.006634924095124006, ""anchor_visibility"": 0.0, ""grad_norm"": 0.2662124037742615}, {""step"": 250, ""loss"": 0.10440507531166077, ""occupancy"": 0.06642317026853561, ""visibility"": 0.00012479725410230458, ""part"": 0.0008507816237397492, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.06457099318504333, ""floating_occupancy"": 0.008899090811610222, ""anchor_visibility"": 0.0, ""grad_norm"": 0.4411136507987976}, {""step"": 300, ""loss"": 0.10308714210987091, ""occupancy"": 0.0654895156621933, ""visibility"": 0.00010660746193025261, ""part"": 0.0006341923726722598, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.06517933309078217, ""floating_occupancy"": 0.007546154782176018, ""anchor_visibility"": 0.0, ""grad_norm"": 0.1983681619167328}]",True,False,False,False,False,8,8,0.691685676574707,0.005202441681176424,False,0.42051879187006924,0.16757351283301317,134,0.8955223880597015,0.6194029850746269,0.0,4.134328358208955,0.47938013662403767,0.9948631488293254,388,1.0,1,0.9995213092808393,0.6912976019970631,0.3882914499092829,True,0.6737955283662748,False,1.0,0.25726837035037364,0.31682310611481834,0.0,0.6023090356778595,0.3333333333333333,0.6832466481269005,True
current_v895_0021_03,visible_anchor_canonical_surfel_true,/workspace/repo/output/V18700000000000000000_visible_anchor_canonical_surfel_training/current_v895_0021_03/visible_anchor_canonical_surfel_true/predictions.npz,/workspace/repo/output/V18700000000000000000_visible_anchor_canonical_surfel_training/current_v895_0021_03/visible_anchor_canonical_surfel_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 1.9016209840774536, ""occupancy"": 0.7896037697792053, ""visibility"": 0.759641170501709, ""part"": 0.6904497146606445, ""shell"": 0.0, ""coverage"": 0.0009354688227176666, ""occupancy_completeness"": 0.0010530650615692139, ""anchor_occupancy"": 0.7941807508468628, ""floating_occupancy"": 0.005529182031750679, ""anchor_visibility"": 0.19545021653175354, ""grad_norm"": 7.8921217918396}, {""step"": 50, ""loss"": 0.09999990463256836, ""occupancy"": 0.04560299217700958, ""visibility"": 0.0032236971892416477, ""part"": 0.05165446549654007, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.048377230763435364, ""floating_occupancy"": 0.0052896905690431595, ""anchor_visibility"": 0.0, ""grad_norm"": 0.06237974017858505}, {""step"": 100, ""loss"": 0.06701762974262238, ""occupancy"": 0.039154909551143646, ""visibility"": 0.0005257783341221511, ""part"": 0.0050074998289346695, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.04496610164642334, ""floating_occupancy"": 0.004054052755236626, ""anchor_visibility"": 0.0, ""grad_norm"": 0.2315433770418167}, {""step"": 150, ""loss"": 0.06159066781401634, ""occupancy"": 0.037207044661045074, ""visibility"": 0.00022839779558125883, ""part"": 0.0021890064235776663, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.04082300513982773, ""floating_occupancy"": 0.004477195907384157, ""anchor_visibility"": 0.0, ""grad_norm"": 0.5665435791015625}, {""step"": 200, ""loss"": 0.05972512811422348, ""occupancy"": 0.03583163022994995, ""visibility"": 0.00014394448953680694, ""part"": 0.0012289455626159906, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.04135997220873833, ""floating_occupancy"": 0.0038693887181580067, ""anchor_visibility"": 0.0, ""grad_norm"": 0.3235749900341034}, {""step"": 250, ""loss"": 0.05894181877374649, ""occupancy"": 0.03507610410451889, ""visibility"": 0.00010033305443357676, ""part"": 0.000815311970654875, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.042049262672662735, ""floating_occupancy"": 0.0034468169324100018, ""anchor_visibility"": 0.0, ""grad_norm"": 0.05096061900258064}, {""step"": 300, ""loss"": 0.05856389179825783, ""occupancy"": 0.03499835357069969, ""visibility"": 8.281522605102509e-05, ""part"": 0.0005980630521662533, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""anchor_occupancy"": 0.04162105545401573, ""floating_occupancy"": 0.003523341380059719, ""anchor_visibility"": 0.0, ""grad_norm"": 0.12867845594882965}]",True,False,False,False,False,8,8,0.7232044339179993,0.004754111878573894,False,0.41191492838504884,0.12891644895350352,117,0.8290598290598291,0.5555555555555556,0.02564102564102564,3.9743589743589745,0.4281021773514721,1.0135307146654011,341,1.0,1,0.9884911006126649,0.6607244565147312,0.4203580006585009,True,0.6325280591798454,False,1.0,0.26675375492045683,0.40290949643668406,0.14285714285714285,0.5581565564674882,0.3333333333333333,0.6477541137406838,True
