created_at,case_id,configs,seeds,steps,runtime_seconds,gpu_type,real_vggt_tokens_final_evidence,tiny_v330_only_control,no_teacher_points_inference,no_raw_kinect_depth_inference,failures
2026-05-26T18:25:36+00:00,current_v895_0021_03,"['real_vggt_smpl_feature_true_full', 'real_vggt_no_smpl_feature', 'real_vggt_random_smpl_feature', 'real_vggt_shuffled_smpl_feature', 'same_topology_no_semantic', 'real_vggt_baseline_only', 'posthoc_surfel_only', 'tiny_v330_synthetic_token_control', 'smpl_only_template_control', 'source_label_only_control']","[0, 1, 2]",300,24.192500591278076,NVIDIA A10G,True,True,True,True,[]
2026-05-26T18:25:32+00:00,0021_03_frame001,"['real_vggt_smpl_feature_true_full', 'real_vggt_no_smpl_feature', 'real_vggt_random_smpl_feature', 'real_vggt_shuffled_smpl_feature', 'same_topology_no_semantic', 'real_vggt_baseline_only', 'posthoc_surfel_only', 'tiny_v330_synthetic_token_control', 'smpl_only_template_control', 'source_label_only_control']","[0, 1, 2]",300,20.358814239501953,NVIDIA A10,True,True,True,True,[]
2026-05-26T18:25:32+00:00,0012_11_frame001,"['real_vggt_smpl_feature_true_full', 'real_vggt_no_smpl_feature', 'real_vggt_random_smpl_feature', 'real_vggt_shuffled_smpl_feature', 'same_topology_no_semantic', 'real_vggt_baseline_only', 'posthoc_surfel_only', 'tiny_v330_synthetic_token_control', 'smpl_only_template_control', 'source_label_only_control']","[0, 1, 2]",300,20.776718854904175,NVIDIA A10,True,True,True,True,[]
2026-05-26T18:25:34+00:00,0013_01_frame001,"['real_vggt_smpl_feature_true_full', 'real_vggt_no_smpl_feature', 'real_vggt_random_smpl_feature', 'real_vggt_shuffled_smpl_feature', 'same_topology_no_semantic', 'real_vggt_baseline_only', 'posthoc_surfel_only', 'tiny_v330_synthetic_token_control', 'smpl_only_template_control', 'source_label_only_control']","[0, 1, 2]",300,20.452723503112793,NVIDIA A10,True,True,True,True,[]
