case,target_path,repair_ratio,no_change_ratio,mean_shell_confidence,cross_section_bins_present,head_hair_repair_ratio,shoulder_neck_repair_ratio,hand_arm_repair_ratio,clothing_repair_ratio,leg_foot_repair_ratio,same_topology_no_semantic_thickness_proxy,shuffled_smpl_feature_thickness_proxy,thickness_only_control_thickness_proxy,face_detail_claim_allowed
0012_11_frame001,D:\vggt\vggt-canonical-surfel-adapter\output\V17100000000000000000_part_graph_cross_section_targets\0012_11_frame001\part_graph_cross_section_targets.npz,0.21165,0.7,0.9996078014373779,8,0.015466666666666667,0.005916666666666666,0.11795,0.007883333333333332,0.15093333333333334,0.1573963761329651,0.42806583642959595,0.43396812677383423,False
0013_01_frame001,D:\vggt\vggt-canonical-surfel-adapter\output\V17100000000000000000_part_graph_cross_section_targets\0013_01_frame001\part_graph_cross_section_targets.npz,0.19771666666666668,0.7,0.9892893433570862,8,0.012433333333333333,0.03025,0.12545,0.03025,0.1139,0.1334499567747116,0.38996630907058716,0.42237430810928345,False
0021_03_frame001,D:\vggt\vggt-canonical-surfel-adapter\output\V17100000000000000000_part_graph_cross_section_targets\0021_03_frame001\part_graph_cross_section_targets.npz,0.19255,0.7,0.9688591957092285,8,0.00455,0.02581666666666667,0.13098333333333334,0.03496666666666667,0.12183333333333334,0.11793868243694305,0.3172641694545746,0.3885951042175293,False
current_v895_0021_03,D:\vggt\vggt-canonical-surfel-adapter\output\V17100000000000000000_part_graph_cross_section_targets\current_v895_0021_03\part_graph_cross_section_targets.npz,0.19205,0.7,0.9735124111175537,8,0.004483333333333333,0.025266666666666666,0.13078333333333333,0.0334,0.12068333333333334,0.1296316385269165,0.31888893246650696,0.3885776996612549,False
