case,config,prediction,ply,steps,max_points,device,history_json,model_owned_student_output,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,facial_detail_target_applicable,face_detail_claim_allowed,feature_bank_fallback_used,infill_aligned_to_baseline_frame,alignment_type,alignment_axis_scale_json,connected_infill_points,connected_infill_distance_mean,part_quota_json,strict_preserve_ratio,strict_preserve_conf_mean,strict_weak_nonpreserve_mean,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,adjacency_collision_score_v4,adjacency_collision_fail_v4,part_presence_score,valid_contact_score,invalid_overlap_penalty,adjacent_overmerge_penalty,distant_separation_score,semantic_order_score,combined_topology_volume_score_v4,combined_fail_v4
0012_11_frame001,part_specific_nonregression_infill_true,/workspace/repo/output/V20300000000000000000_part_specific_nonregression_infill/0012_11_frame001/part_specific_nonregression_infill_true/predictions.npz,/workspace/repo/output/V20300000000000000000_part_specific_nonregression_infill/0012_11_frame001/part_specific_nonregression_infill_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 0.6705963015556335, ""pose_width"": 0.0038159112446010113, ""completeness"": 0.0, ""preserve_residual"": 2.7541314921109006e-05, ""visible_rgb_lock"": 2.6574593903205823e-06, ""preserve_occ"": 0.43237945437431335, ""connected_occ"": 0.0, ""floating"": 2.811092599586118e-05, ""grad_norm"": 2.8435094356536865}, {""step"": 50, ""loss"": 0.03422355279326439, ""pose_width"": 0.0006663606036454439, ""completeness"": 0.0, ""preserve_residual"": 3.915317847713595e-06, ""visible_rgb_lock"": 6.5670660660543945e-06, ""preserve_occ"": 0.0, ""connected_occ"": 0.0, ""floating"": 5.829514702782035e-05, ""grad_norm"": 0.02517864853143692}, {""step"": 100, ""loss"": 0.014458490535616875, ""pose_width"": 0.0005454174242913723, ""completeness"": 0.0, ""preserve_residual"": 8.510197631039773e-07, ""visible_rgb_lock"": 8.799572128737054e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.0, ""floating"": 5.67975002923049e-05, ""grad_norm"": 0.010488896630704403}, {""step"": 150, ""loss"": 0.010959379374980927, ""pose_width"": 0.0004227787721902132, ""completeness"": 0.0, ""preserve_residual"": 3.0553277952094504e-07, ""visible_rgb_lock"": 5.311714517119981e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.0, ""floating"": 5.650674211210571e-05, ""grad_norm"": 0.005908047314733267}, {""step"": 200, ""loss"": 0.01037056278437376, ""pose_width"": 0.0003604734083637595, ""completeness"": 0.0, ""preserve_residual"": 2.208377622991975e-07, ""visible_rgb_lock"": 4.6578020373999607e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.0, ""floating"": 5.582133599091321e-05, ""grad_norm"": 0.009640362113714218}, {""step"": 250, ""loss"": 0.010138314217329025, ""pose_width"": 0.00033619714668020606, ""completeness"": 0.0, ""preserve_residual"": 1.8208923791007692e-07, ""visible_rgb_lock"": 3.6787713497687946e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.0, ""floating"": 5.473537021316588e-05, ""grad_norm"": 0.01087910309433937}, {""step"": 300, ""loss"": 0.009995671920478344, ""pose_width"": 0.00032627646578475833, ""completeness"": 0.0, ""preserve_residual"": 1.7774041793927609e-07, ""visible_rgb_lock"": 2.7471128305478487e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.0, ""floating"": 5.2839521231362596e-05, ""grad_norm"": 0.012604091316461563}]",True,False,False,False,False,False,True,robust_per_axis_v950_to_v140,"[0.4353169798851013, 0.3149559795856476, 0.18000000715255737]",248,0.01532735861837864,"{""target_infill"": 7199, ""part_1_baseline"": 4972, ""part_1_quota"": 248, ""part_1_selected"": 248, ""selected_infill"": 248, ""mean_visible_distance"": 0.01532735861837864}",0.8800166666666667,1.0,0.6327206492424011,0.051667212798421014,0.0014798202926420711,170,0.38235294117647056,0.12352941176470589,0.0058823529411764705,2.388235294117647,0.22441485607960787,0.48317338918284053,312,0.9935897435897436,3,0.7549665625172752,0.2864142585302204,0.756950367903203,True,0.685676232675914,False,1.0,0.525976914551438,0.3681794838363689,0.3477568533052224,0.46313424047996626,0.6666666666666666,0.4700747666372395,True
0013_01_frame001,part_specific_nonregression_infill_true,/workspace/repo/output/V20300000000000000000_part_specific_nonregression_infill/0013_01_frame001/part_specific_nonregression_infill_true/predictions.npz,/workspace/repo/output/V20300000000000000000_part_specific_nonregression_infill/0013_01_frame001/part_specific_nonregression_infill_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 0.5810598731040955, ""pose_width"": 0.0032934739720076323, ""completeness"": 0.0, ""preserve_residual"": 8.39529893710278e-05, ""visible_rgb_lock"": 8.519275070284493e-06, ""preserve_occ"": 0.3694077134132385, ""connected_occ"": 0.0, ""floating"": 9.813134965952486e-06, ""grad_norm"": 2.8158507347106934}, {""step"": 50, ""loss"": 0.033324599266052246, ""pose_width"": 0.000638995785266161, ""completeness"": 0.0, ""preserve_residual"": 6.204432793310843e-06, ""visible_rgb_lock"": 8.195944246836007e-06, ""preserve_occ"": 0.0, ""connected_occ"": 0.0, ""floating"": 2.0857642084592953e-05, ""grad_norm"": 0.026110149919986725}, {""step"": 100, ""loss"": 0.012110714800655842, ""pose_width"": 0.0005481701227836311, ""completeness"": 0.0, ""preserve_residual"": 7.443954928021412e-07, ""visible_rgb_lock"": 1.282004404856707e-06, ""preserve_occ"": 0.0, ""connected_occ"": 0.0, ""floating"": 2.0246179701643996e-05, ""grad_norm"": 0.010065081529319286}, {""step"": 150, ""loss"": 0.007999643683433533, ""pose_width"": 0.00037477060686796904, ""completeness"": 0.0, ""preserve_residual"": 3.71118233033485e-07, ""visible_rgb_lock"": 4.3647582970152143e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.0, ""floating"": 1.9958844859502278e-05, ""grad_norm"": 0.0049954853020608425}, {""step"": 200, ""loss"": 0.007315584924072027, ""pose_width"": 0.0003355798835400492, ""completeness"": 0.0, ""preserve_residual"": 2.5778052759051207e-07, ""visible_rgb_lock"": 3.219616644400958e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.0, ""floating"": 1.966507625184022e-05, ""grad_norm"": 0.009172684513032436}, {""step"": 250, ""loss"": 0.007076795678585768, ""pose_width"": 0.0003264827246312052, ""completeness"": 0.0, ""preserve_residual"": 1.701405807352785e-07, ""visible_rgb_lock"": 2.464230135501566e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.0, ""floating"": 1.951051308424212e-05, ""grad_norm"": 0.009625452570617199}, {""step"": 300, ""loss"": 0.006953984033316374, ""pose_width"": 0.0003231860464438796, ""completeness"": 0.0, ""preserve_residual"": 1.8407419588584162e-07, ""visible_rgb_lock"": 1.945825687243996e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.0, ""floating"": 1.9373501345398836e-05, ""grad_norm"": 0.013092134147882462}]",True,False,False,False,False,False,True,robust_per_axis_v950_to_v140,"[0.46477022767066956, 0.3285066485404968, 0.22002629935741425]",250,0.006616819184273481,"{""target_infill"": 7199, ""part_0_baseline"": 2659, ""part_0_quota"": 239, ""part_0_selected"": 2, ""part_1_baseline"": 4972, ""part_1_quota"": 248, ""part_1_selected"": 248, ""selected_infill"": 250, ""mean_visible_distance"": 0.006616819184273481}",0.8800166666666667,1.0,0.6275384426116943,0.11018423785004382,0.0004906996277894667,188,0.07446808510638298,0.015957446808510637,0.005319148936170213,1.6861702127659575,0.10667998825320471,0.41763808030813143,247,0.9392712550607287,12,0.6248985001868574,0.2100861795724411,0.8341664611521661,True,0.656843602228061,False,1.0,0.5847461594763591,0.5480204184307408,0.24747760840292776,0.30077471041101633,0.6666666666666666,0.4155945939940263,True
0021_03_frame001,part_specific_nonregression_infill_true,/workspace/repo/output/V20300000000000000000_part_specific_nonregression_infill/0021_03_frame001/part_specific_nonregression_infill_true/predictions.npz,/workspace/repo/output/V20300000000000000000_part_specific_nonregression_infill/0021_03_frame001/part_specific_nonregression_infill_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 0.8758062124252319, ""pose_width"": 0.0033798259682953358, ""completeness"": 0.026976794004440308, ""preserve_residual"": 7.684365118620917e-05, ""visible_rgb_lock"": 3.109496901743114e-06, ""preserve_occ"": 0.4552888572216034, ""connected_occ"": 0.41999998688697815, ""floating"": 0.0, ""grad_norm"": 3.288487672805786}, {""step"": 50, ""loss"": 0.2219662070274353, ""pose_width"": 0.0004519392969086766, ""completeness"": 0.0, ""preserve_residual"": 1.2072850950062275e-05, ""visible_rgb_lock"": 4.5177971514931414e-06, ""preserve_occ"": 0.0, ""connected_occ"": 0.41999998688697815, ""floating"": 0.0, ""grad_norm"": 0.03417164087295532}, {""step"": 100, ""loss"": 0.20150123536586761, ""pose_width"": 0.0004177832161076367, ""completeness"": 0.0, ""preserve_residual"": 1.112224708776921e-06, ""visible_rgb_lock"": 3.7273255202308064e-06, ""preserve_occ"": 0.0, ""connected_occ"": 0.41999998688697815, ""floating"": 0.0, ""grad_norm"": 0.012619231827557087}, {""step"": 150, ""loss"": 0.19567354023456573, ""pose_width"": 0.0003337870875839144, ""completeness"": 0.0, ""preserve_residual"": 4.924185645904799e-07, ""visible_rgb_lock"": 4.918820195598528e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.41999998688697815, ""floating"": 0.0, ""grad_norm"": 0.005483540240675211}, {""step"": 200, ""loss"": 0.19427746534347534, ""pose_width"": 0.00027066824259236455, ""completeness"": 0.0, ""preserve_residual"": 5.66138339763711e-07, ""visible_rgb_lock"": 2.9529354605983826e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.41999998688697815, ""floating"": 0.0, ""grad_norm"": 0.003684018738567829}, {""step"": 250, ""loss"": 0.19437019526958466, ""pose_width"": 0.00026636035181581974, ""completeness"": 0.0, ""preserve_residual"": 7.706313454036717e-07, ""visible_rgb_lock"": 2.6427889565638907e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.41999998688697815, ""floating"": 0.0, ""grad_norm"": 0.22308026254177094}, {""step"": 300, ""loss"": 0.19325613975524902, ""pose_width"": 0.0002611158415675163, ""completeness"": 0.0, ""preserve_residual"": 5.948228931629274e-07, ""visible_rgb_lock"": 2.1370442482293583e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.41999998688697815, ""floating"": 0.0, ""grad_norm"": 0.01481033768504858}]",True,False,False,False,False,False,True,robust_per_axis_v950_to_v140,"[0.5570809245109558, 0.38094890117645264, 0.18000000715255737]",10,0.0220455564558506,"{""target_infill"": 7200, ""part_0_baseline"": 2659, ""part_0_quota"": 239, ""part_0_selected"": 10, ""selected_infill"": 10, ""mean_visible_distance"": 0.0220455564558506}",0.88,0.979252278804779,0.6321507692337036,0.30848395575411247,0.02435436193928313,149,0.31543624161073824,0.19463087248322147,0.1610738255033557,2.1812080536912752,0.09186626390985436,0.554675584833338,282,0.9468085106382979,10,0.48287455857174805,0.39905217077524335,0.6628292193654308,True,0.5749543773149812,True,1.0,0.47977200264812575,0.7262198200408316,0.4294902979326924,0.35968205518620144,0.6666666666666666,0.4799671857835228,True
current_v895_0021_03,part_specific_nonregression_infill_true,/workspace/repo/output/V20300000000000000000_part_specific_nonregression_infill/current_v895_0021_03/part_specific_nonregression_infill_true/predictions.npz,/workspace/repo/output/V20300000000000000000_part_specific_nonregression_infill/current_v895_0021_03/part_specific_nonregression_infill_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 0.8250622749328613, ""pose_width"": 0.0033980789594352245, ""completeness"": 0.0015252530574798584, ""preserve_residual"": 8.354789315490052e-05, ""visible_rgb_lock"": 5.9664121181413066e-06, ""preserve_occ"": 0.43117737770080566, ""connected_occ"": 0.41999998688697815, ""floating"": 0.0, ""grad_norm"": 2.9054574966430664}, {""step"": 50, ""loss"": 0.21045231819152832, ""pose_width"": 0.0005990597419440746, ""completeness"": 0.0, ""preserve_residual"": 7.20139132681652e-06, ""visible_rgb_lock"": 2.6644843273970764e-06, ""preserve_occ"": 0.0, ""connected_occ"": 0.41999998688697815, ""floating"": 0.0, ""grad_norm"": 0.0310837235301733}, {""step"": 100, ""loss"": 0.18960951268672943, ""pose_width"": 0.0005042008124291897, ""completeness"": 0.0, ""preserve_residual"": 1.2273810625629267e-06, ""visible_rgb_lock"": 4.658582781758014e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.41999998688697815, ""floating"": 0.0, ""grad_norm"": 0.009913883171975613}, {""step"": 150, ""loss"": 0.1857149600982666, ""pose_width"": 0.0004119549412280321, ""completeness"": 0.0, ""preserve_residual"": 6.892018404869305e-07, ""visible_rgb_lock"": 2.7395034862820467e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.41999998688697815, ""floating"": 0.0, ""grad_norm"": 0.009741346351802349}, {""step"": 200, ""loss"": 0.18503114581108093, ""pose_width"": 0.0003784771542996168, ""completeness"": 0.0, ""preserve_residual"": 7.308020713026053e-07, ""visible_rgb_lock"": 4.0593670291855233e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.41999998688697815, ""floating"": 0.0, ""grad_norm"": 0.3679305613040924}, {""step"": 250, ""loss"": 0.18271999061107635, ""pose_width"": 0.000356962438672781, ""completeness"": 0.0, ""preserve_residual"": 4.6988174062789767e-07, ""visible_rgb_lock"": 2.473253459811531e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.41999998688697815, ""floating"": 0.0, ""grad_norm"": 0.0683811753988266}, {""step"": 300, ""loss"": 0.1824347823858261, ""pose_width"": 0.0003484079206828028, ""completeness"": 0.0, ""preserve_residual"": 4.108424036530778e-07, ""visible_rgb_lock"": 2.2984436043316236e-07, ""preserve_occ"": 0.0, ""connected_occ"": 0.41999998688697815, ""floating"": 0.0, ""grad_norm"": 0.01895855739712715}]",True,False,False,False,False,False,True,robust_per_axis_v950_to_v140,"[0.5555160045623779, 0.3801652491092682, 0.18000000715255737]",7200,0.003838550066575408,"{""target_infill"": 7200, ""selected_infill"": 7200, ""mean_visible_distance"": 0.003838550066575408}",0.88,0.9724161028862,0.6443701386451721,0.3286467694979034,0.021503854392052876,153,0.26143790849673204,0.17647058823529413,0.13071895424836602,2.0915032679738563,0.09632167283466625,0.5880771928697406,268,0.9514925373134329,10,0.5683772472234285,0.3959291897636758,0.6631246305129571,True,0.5932556134771073,True,1.0,0.5137690241817034,0.7522253447566093,0.580627591325554,0.4700386678916421,1.0,0.4866993446718543,True
