case,config,prediction,ply,steps,max_points,device,history_json,model_owned_student_output,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,facial_detail_target_applicable,face_detail_claim_allowed,source_part_count,selected_part_count,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,adjacency_collision_score_v4,adjacency_collision_fail_v4,part_presence_score,valid_contact_score,invalid_overlap_penalty,adjacent_overmerge_penalty,distant_separation_score,semantic_order_score,combined_topology_volume_score_v4,combined_fail_v4
0012_11_frame001,part_coverage_canonical_surfel_true,/workspace/repo/output/V18600000000000000000_part_coverage_canonical_surfel_training/0012_11_frame001/part_coverage_canonical_surfel_true/predictions.npz,/workspace/repo/output/V18600000000000000000_part_coverage_canonical_surfel_training/0012_11_frame001/part_coverage_canonical_surfel_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 1.2691038846969604, ""occupancy"": 0.649303674697876, ""visibility"": 0.7425811290740967, ""part"": 0.6751251220703125, ""shell"": 0.0009448066120967269, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 4.44877815246582}, {""step"": 50, ""loss"": 0.04237358272075653, ""occupancy"": 0.02506863698363304, ""visibility"": 0.0007828978705219924, ""part"": 0.03581027686595917, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.04500088095664978}, {""step"": 100, ""loss"": 0.02553117834031582, ""occupancy"": 0.024024061858654022, ""visibility"": 0.00011310382978990674, ""part"": 0.003149577649310231, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.006976800039410591}, {""step"": 150, ""loss"": 0.024483945220708847, ""occupancy"": 0.023842573165893555, ""visibility"": 4.9542573833605275e-05, ""part"": 0.0013516453327611089, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.03928745537996292}, {""step"": 200, ""loss"": 0.025261608883738518, ""occupancy"": 0.024873483926057816, ""visibility"": 3.441295484662987e-05, ""part"": 0.0008208544459193945, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.3422735035419464}, {""step"": 250, ""loss"": 0.024091634899377823, ""occupancy"": 0.023814771324396133, ""visibility"": 2.1852585632586852e-05, ""part"": 0.0005941175622865558, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.17839866876602173}, {""step"": 300, ""loss"": 0.024899359792470932, ""occupancy"": 0.024695083498954773, ""visibility"": 1.4974029909353703e-05, ""part"": 0.00043298036325722933, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.19272015988826752}]",True,False,False,False,False,8,8,0.3474945815766733,0.049931618873907395,150,0.8733333333333333,0.6266666666666667,0.04,4.04,0.47246843406963573,0.8052253941595924,424,1.0,1,0.9905221562036925,0.6570418931138033,0.40737613841896403,True,0.6564873545326605,False,1.0,0.23181564036589108,0.3944055467769398,0.0,0.6559046727642462,0.3333333333333333,0.6567868053664776,True
0013_01_frame001,part_coverage_canonical_surfel_true,/workspace/repo/output/V18600000000000000000_part_coverage_canonical_surfel_training/0013_01_frame001/part_coverage_canonical_surfel_true/predictions.npz,/workspace/repo/output/V18600000000000000000_part_coverage_canonical_surfel_training/0013_01_frame001/part_coverage_canonical_surfel_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 1.283983826637268, ""occupancy"": 0.6636372208595276, ""visibility"": 0.7333583831787109, ""part"": 0.6871300935745239, ""shell"": 2.4645407393109053e-05, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 4.589691638946533}, {""step"": 50, ""loss"": 0.05424836650490761, ""occupancy"": 0.020196381956338882, ""visibility"": 0.0037366829346865416, ""part"": 0.06749078631401062, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.06664159148931503}, {""step"": 100, ""loss"": 0.0189221054315567, ""occupancy"": 0.016630418598651886, ""visibility"": 0.0004260103451088071, ""part"": 0.004379330202937126, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.009242060594260693}, {""step"": 150, ""loss"": 0.017329508438706398, ""occupancy"": 0.016449570655822754, ""visibility"": 0.00017779559129849076, ""part"": 0.0016971819568425417, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.003112091915681958}, {""step"": 200, ""loss"": 0.017472457140684128, ""occupancy"": 0.016976002603769302, ""visibility"": 0.00010829199891304597, ""part"": 0.0009574928553774953, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.191964253783226}, {""step"": 250, ""loss"": 0.016652582213282585, ""occupancy"": 0.016324523836374283, ""visibility"": 6.809829210396856e-05, ""part"": 0.0006381188868544996, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.019919654354453087}, {""step"": 300, ""loss"": 0.01798122562468052, ""occupancy"": 0.017744438722729683, ""visibility"": 4.594767960952595e-05, ""part"": 0.00046596251195296645, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.2725660502910614}]",True,False,False,False,False,8,8,0.24092640249098468,0.030661963986468997,180,0.9388888888888889,0.85,0.3888888888888889,5.311111111111111,0.5844097626276203,0.774936457539394,667,1.0,1,0.9982609994452267,0.7199395738165015,0.34205534278665,False,0.6869657959726899,False,1.0,0.27766779853858276,0.4090485816165608,0.024509588925731986,0.6596757736611418,0.6666666666666666,0.7047716360083482,False
0021_03_frame001,part_coverage_canonical_surfel_true,/workspace/repo/output/V18600000000000000000_part_coverage_canonical_surfel_training/0021_03_frame001/part_coverage_canonical_surfel_true/predictions.npz,/workspace/repo/output/V18600000000000000000_part_coverage_canonical_surfel_training/0021_03_frame001/part_coverage_canonical_surfel_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 1.1738184690475464, ""occupancy"": 0.5788965821266174, ""visibility"": 0.6665439009666443, ""part"": 0.7067981958389282, ""shell"": 2.8243783162906766e-05, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 3.565171241760254}, {""step"": 50, ""loss"": 0.0779062807559967, ""occupancy"": 0.05513325333595276, ""visibility"": 0.0028724772855639458, ""part"": 0.0488697774708271, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.04859619215130806}, {""step"": 100, ""loss"": 0.05193754658102989, ""occupancy"": 0.04926078021526337, ""visibility"": 0.0005377879133448005, ""part"": 0.005575699731707573, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.01160251721739769}, {""step"": 150, ""loss"": 0.049927011132240295, ""occupancy"": 0.04881402850151062, ""visibility"": 0.000261229055467993, ""part"": 0.002291554817929864, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.5291143655776978}, {""step"": 200, ""loss"": 0.05152997747063637, ""occupancy"": 0.05088553577661514, ""visibility"": 0.0001936591579578817, ""part"": 0.0012760538375005126, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.8925933241844177}, {""step"": 250, ""loss"": 0.04676345735788345, ""occupancy"": 0.04632662236690521, ""visibility"": 0.00013229965406935662, ""part"": 0.0008664369815960526, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.021386245265603065}, {""step"": 300, ""loss"": 0.04670374467968941, ""occupancy"": 0.046383947134017944, ""visibility"": 0.00010715787357185036, ""part"": 0.000622093619313091, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.36110180616378784}]",True,False,False,False,False,8,8,0.4199796766605623,0.1498984771895604,143,0.8601398601398601,0.6503496503496503,0.006993006993006993,4.2027972027972025,0.47362610231698177,0.9746081251205246,411,1.0,1,0.996954036722303,0.6891390987255173,0.3888295512841247,True,0.6512887695517937,False,1.0,0.21229924972095443,0.3744465013360991,0.008246082591068413,0.6144894980320847,0.3333333333333333,0.6717279473056045,True
current_v895_0021_03,part_coverage_canonical_surfel_true,/workspace/repo/output/V18600000000000000000_part_coverage_canonical_surfel_training/current_v895_0021_03/part_coverage_canonical_surfel_true/predictions.npz,/workspace/repo/output/V18600000000000000000_part_coverage_canonical_surfel_training/current_v895_0021_03/part_coverage_canonical_surfel_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 1.2468492984771729, ""occupancy"": 0.6084908246994019, ""visibility"": 0.7520729899406433, ""part"": 0.6979845762252808, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 4.436820030212402}, {""step"": 50, ""loss"": 0.0633726567029953, ""occupancy"": 0.04396670311689377, ""visibility"": 0.002720421180129051, ""part"": 0.03881598263978958, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.06734423339366913}, {""step"": 100, ""loss"": 0.036502569913864136, ""occupancy"": 0.034083351492881775, ""visibility"": 0.00041300879092887044, ""part"": 0.004968920256942511, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.07784315198659897}, {""step"": 150, ""loss"": 0.0319066159427166, ""occupancy"": 0.03081221878528595, ""visibility"": 0.0002005013229791075, ""part"": 0.0022515514865517616, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.028998354449868202}, {""step"": 200, ""loss"": 0.030730145052075386, ""occupancy"": 0.030124299228191376, ""visibility"": 0.00012306599819567055, ""part"": 0.0012264993274584413, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.23046843707561493}, {""step"": 250, ""loss"": 0.02991574816405773, ""occupancy"": 0.029505059123039246, ""visibility"": 7.811530667822808e-05, ""part"": 0.0008309633703902364, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.250844806432724}, {""step"": 300, ""loss"": 0.029557811096310616, ""occupancy"": 0.029247023165225983, ""visibility"": 7.896714669186622e-05, ""part"": 0.0006095761782489717, ""shell"": 0.0, ""coverage"": 0.0, ""occupancy_completeness"": 0.0, ""grad_norm"": 0.4522998332977295}]",True,False,False,False,False,8,8,0.4076419790863759,0.1240189005374154,118,0.8898305084745762,0.6610169491525424,0.025423728813559324,4.161016949152542,0.45124546809603716,0.928944996983229,336,1.0,1,0.9895219979938542,0.6904595631725792,0.38385603658607914,True,0.6604543206688447,False,1.0,0.22220173996102646,0.33657961995546054,0.0,0.5895078760095355,0.3333333333333333,0.6766571516208613,True
