case,config,prediction,ply,model_owned_student_output,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,facial_detail_target_applicable,face_detail_claim_allowed,preserved_visible_points,moderate_offset_infill_points,infill_distance_mean,offset_band_near,offset_band_far,offset_target,preserve_ratio,preserve_conf_mean,weak_nonpreserve_mean,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,adjacency_collision_score_v4,adjacency_collision_fail_v4,part_presence_score,valid_contact_score,invalid_overlap_penalty,adjacent_overmerge_penalty,distant_separation_score,semantic_order_score,combined_topology_volume_score_v4,combined_fail_v4
0012_11_frame001,moderate_offset_surface_completion_true,D:\vggt\vggt-canonical-surfel-adapter\output\V19700000000000000000_moderate_offset_surface_completion\0012_11_frame001\moderate_offset_surface_completion_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V19700000000000000000_moderate_offset_surface_completion\0012_11_frame001\moderate_offset_surface_completion_true\full_scene_rgb_pointcloud.ply,True,False,False,False,False,45600,14000,0.0028833686374127865,0.0012863019946962595,0.01891905441880226,0.0031807676423341036,0.7,1.0,0.6192945837974548,0.3605403606606714,0.0022281032374423756,167,0.03592814371257485,0.0,0.041916167664670656,1.2634730538922156,0.023372096322784235,0.5876286116492556,168,0.9107142857142857,12,0.6747623567739413,0.31735142818407025,0.7368552991722738,True,0.5014120508944662,True,0.875,0.5895878567088191,0.8202897406096819,0.6304425865859095,0.43761760808016753,0.3333333333333333,0.4020193146308524,True
0013_01_frame001,moderate_offset_surface_completion_true,D:\vggt\vggt-canonical-surfel-adapter\output\V19700000000000000000_moderate_offset_surface_completion\0013_01_frame001\moderate_offset_surface_completion_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V19700000000000000000_moderate_offset_surface_completion\0013_01_frame001\moderate_offset_surface_completion_true\full_scene_rgb_pointcloud.ply,True,False,False,False,False,45600,14000,0.004366557113826275,0.0021232522558420897,0.009701970033347607,0.004580767825245857,0.7,1.0,0.6097607612609863,0.3447600528849479,0.0011716624660352136,178,0.06179775280898876,0.011235955056179775,0.0449438202247191,1.2808988764044944,0.018878525943531437,0.49813628569729446,193,0.9067357512953368,14,0.5870062340334293,0.31173754553712,0.7411718055611082,True,0.5288019550850704,True,1.0,0.6294198580588611,0.8397416215565624,0.7626646404407854,0.28512459382941324,0.6666666666666666,0.4115871739291772,True
0021_03_frame001,moderate_offset_surface_completion_true,D:\vggt\vggt-canonical-surfel-adapter\output\V19700000000000000000_moderate_offset_surface_completion\0021_03_frame001\moderate_offset_surface_completion_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V19700000000000000000_moderate_offset_surface_completion\0021_03_frame001\moderate_offset_surface_completion_true\full_scene_rgb_pointcloud.ply,True,False,False,False,False,45600,14000,0.00573024433106184,0.0027793855406343937,0.02018541283905506,0.005991694983094931,0.58,0.9918943047523499,0.5587731599807739,0.33633837698903857,0.009771597094365878,126,0.2619047619047619,0.18253968253968253,0.0873015873015873,2.3015873015873014,0.12109629777656943,0.702568362771809,257,0.9416342412451362,12,0.5122411897304227,0.393421674443626,0.677931483526669,True,0.5392347686292049,True,1.0,0.7039999403557022,0.8425263405548361,0.8207023643114547,0.3127557434328484,0.6666666666666666,0.46049569776899235,True
current_v895_0021_03,moderate_offset_surface_completion_true,D:\vggt\vggt-canonical-surfel-adapter\output\V19700000000000000000_moderate_offset_surface_completion\current_v895_0021_03\moderate_offset_surface_completion_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V19700000000000000000_moderate_offset_surface_completion\current_v895_0021_03\moderate_offset_surface_completion_true\full_scene_rgb_pointcloud.ply,True,False,False,False,False,45600,14000,0.006399068515747786,0.003466299269348383,0.018158072605729103,0.0066139004193246365,0.58,0.9892391562461853,0.5586426854133606,0.33961637928714833,0.012072512248286886,127,0.31496062992125984,0.2125984251968504,0.10236220472440945,2.338582677165354,0.12900793931146023,0.7481679559927202,246,0.8902439024390244,13,0.47113711023512184,0.4064590775156046,0.6733824024906823,True,0.5162200458452552,True,1.0,0.5776802124282723,0.813663869305765,0.6892139429784354,0.3795973570861785,0.3333333333333333,0.4569491229472439,True
