case,config,prediction,ply,steps,max_points,device,history_json,front_back_occupancy_decoded,model_owned_student_output,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,facial_detail_target_applicable,face_detail_claim_allowed,control_real_vggt_baseline_only_score,control_same_topology_no_semantic_score,control_shuffled_smpl_feature_score,control_thickness_only_control_score,control_posthoc_surfel_only_score,control_tiny_synthetic_token_control_score,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2
0012_11_frame001,front_back_occupancy_true,D:\vggt\vggt-canonical-surfel-adapter\output\V17700000000000000000_front_back_occupancy_training\0012_11_frame001\front_back_occupancy_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V17700000000000000000_front_back_occupancy_training\0012_11_frame001\front_back_occupancy_true\full_scene_rgb_pointcloud.ply,90,4096,cpu,"[{""step"": 1, ""loss"": 0.43031588196754456, ""base_loss"": 0.39764535427093506, ""front_back_loss"": 0.059400953352451324, ""grad_norm"": 0.6025187373161316}, {""step"": 50, ""loss"": 0.06355872750282288, ""base_loss"": 0.05950562283396721, ""front_back_loss"": 0.007369279395788908, ""grad_norm"": 0.04067053273320198}, {""step"": 90, ""loss"": 0.046385493129491806, ""base_loss"": 0.04245401918888092, ""front_back_loss"": 0.007148134056478739, ""grad_norm"": 0.22828936576843262}]",True,True,False,False,False,False,0.35917604408028686,0.5611661329441532,0.516107901549784,0.4206352872892399,0.3768573766794879,0.3644697297130479,0.3725998429011208,0.023214282150390318,171,0.3508771929824561,0.15789473684210525,0.0935672514619883,2.192982456140351,0.15358583408943927,3.9149386062893994,318,0.9371069182389937,10,0.5746140421123034,0.4325053014268771,0.7405255752041386,True
0013_01_frame001,front_back_occupancy_true,D:\vggt\vggt-canonical-surfel-adapter\output\V17700000000000000000_front_back_occupancy_training\0013_01_frame001\front_back_occupancy_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V17700000000000000000_front_back_occupancy_training\0013_01_frame001\front_back_occupancy_true\full_scene_rgb_pointcloud.ply,90,4096,cpu,"[{""step"": 1, ""loss"": 0.47059908509254456, ""base_loss"": 0.4401223361492157, ""front_back_loss"": 0.055412277579307556, ""grad_norm"": 0.7227015495300293}, {""step"": 50, ""loss"": 0.040221620351076126, ""base_loss"": 0.03621479123830795, ""front_back_loss"": 0.007285142317414284, ""grad_norm"": 0.018808528780937195}, {""step"": 90, ""loss"": 0.033836882561445236, ""base_loss"": 0.029936235398054123, ""front_back_loss"": 0.007092086598277092, ""grad_norm"": 0.011124074459075928}]",True,True,False,False,False,False,0.35294218596191007,0.6438028617027225,0.5869365525898298,0.409978807837689,0.3441530491438291,0.34360508104642845,0.34088029241553996,0.014755209453701793,166,0.22289156626506024,0.07228915662650602,0.05421686746987952,1.963855421686747,0.12660723649218378,2.6844476555311245,273,0.945054945054945,11,0.6834242429776581,0.3747992708703273,0.7944280656169481,True
0021_03_frame001,front_back_occupancy_true,D:\vggt\vggt-canonical-surfel-adapter\output\V17700000000000000000_front_back_occupancy_training\0021_03_frame001\front_back_occupancy_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V17700000000000000000_front_back_occupancy_training\0021_03_frame001\front_back_occupancy_true\full_scene_rgb_pointcloud.ply,90,4096,cpu,"[{""step"": 1, ""loss"": 0.4255346655845642, ""base_loss"": 0.39535775780677795, ""front_back_loss"": 0.05486709997057915, ""grad_norm"": 0.6498935222625732}, {""step"": 50, ""loss"": 0.06077324599027634, ""base_loss"": 0.05674678087234497, ""front_back_loss"": 0.007320841774344444, ""grad_norm"": 0.01868409477174282}, {""step"": 90, ""loss"": 0.052152909338474274, ""base_loss"": 0.04823717474937439, ""front_back_loss"": 0.007119516842067242, ""grad_norm"": 0.009794961661100388}]",True,True,False,False,False,False,0.4239747352368261,0.5310976227401354,0.49714181251643375,0.4632261897553673,0.42587490252824045,0.4126268167206773,0.41076984253311843,0.0509105315791723,138,0.4927536231884058,0.2898550724637681,0.021739130434782608,2.8333333333333335,0.1728174188976946,2.3916022386284985,311,0.9935691318327974,3,0.5959448991924945,0.49890146611280933,0.671736186759418,True
current_v895_0021_03,front_back_occupancy_true,D:\vggt\vggt-canonical-surfel-adapter\output\V17700000000000000000_front_back_occupancy_training\current_v895_0021_03\front_back_occupancy_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V17700000000000000000_front_back_occupancy_training\current_v895_0021_03\front_back_occupancy_true\full_scene_rgb_pointcloud.ply,90,4096,cpu,"[{""step"": 1, ""loss"": 0.43252265453338623, ""base_loss"": 0.4016214609146118, ""front_back_loss"": 0.05618397891521454, ""grad_norm"": 0.6131185293197632}, {""step"": 50, ""loss"": 0.06602168828248978, ""base_loss"": 0.06192375719547272, ""front_back_loss"": 0.007450777571648359, ""grad_norm"": 0.026810582727193832}, {""step"": 90, ""loss"": 0.05745638161897659, ""base_loss"": 0.05353565514087677, ""front_back_loss"": 0.007128593977540731, ""grad_norm"": 0.008214794099330902}]",True,True,False,False,False,False,0.4215960286039655,0.5255679127685777,0.4812033043458536,0.45120029299058684,0.43131285372442124,0.42695540959295325,0.37688551543051585,0.027301546304827236,123,0.4146341463414634,0.24390243902439024,0.10569105691056911,2.5447154471544717,0.14219575102798768,2.1350879649684678,267,0.951310861423221,10,0.5556219591488295,0.46203569314904364,0.7121484890444462,True
