case,config,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,adjacency_collision_score_v4,adjacency_collision_fail_v4,part_presence_score,valid_contact_score,invalid_overlap_penalty,adjacent_overmerge_penalty,distant_separation_score,semantic_order_score,combined_topology_volume_score_v4,combined_fail_v4
0012_11_frame001,real_vggt_baseline_only,0.35827478755344805,0.01671019408736304,182,0.14285714285714285,0.04945054945054945,0.0989010989010989,1.521978021978022,0.05145815301211228,0.3682742917566447,213,0.7652582159624414,13,0.6744367828140646,0.34289788322099013,0.6922034132414864,True,0.6213415791192936,True,1.0,0.523589848003247,0.6011218800034761,0.32996339684234083,0.3126016838393828,0.6666666666666666,0.4709819833342097,True
0012_11_frame001,moderate_offset_surface_completion_true,0.3605403606606714,0.0022281032374423756,167,0.03592814371257485,0.0,0.041916167664670656,1.2634730538922156,0.023372096322784235,0.5876286116492556,168,0.9107142857142857,12,0.6747623567739413,0.31735142818407025,0.7368552991722738,True,0.5014120508944662,True,0.875,0.5895878567088191,0.8202897406096819,0.6304425865859095,0.43761760808016753,0.3333333333333333,0.4020193146308524,True
0012_11_frame001,visible_surface_preserving_infill_true,0.20932008674584687,0.01566284343959088,181,0.8784530386740331,0.7237569060773481,0.049723756906077346,4.1602209944751385,0.33727270129282433,0.6813601952153503,545,1.0,1,0.9742572467289676,0.5904701273659841,0.4640386882512439,True,0.6845522434287857,False,1.0,0.3496906526575247,0.4255631393213856,0.10508816207519929,0.6262319985202971,0.6666666666666666,0.633747900754873,True
0012_11_frame001,same_topology_no_semantic,0.15739636119859873,0.008973168734849346,171,0.9064327485380117,0.5614035087719298,0.05847953216374269,3.853801169590643,0.45278133222452854,0.6707459556113927,469,1.0,1,0.9918997256760981,0.560761119227958,0.4928985572209534,True,0.6795063062034509,False,1.0,0.24620819246339604,0.33243448921721386,0.0,0.7180942482262418,0.3333333333333333,0.6153839052366847,True
0012_11_frame001,shuffled_smpl_feature,0.42806587854574085,0.022366011756291333,183,0.4918032786885246,0.22950819672131148,0.0,2.7049180327868854,0.21633174099154454,0.5869697240999322,380,0.9578947368421052,10,0.9673200908470041,0.5144739060921342,0.5324836718358604,True,0.6870159234508046,False,1.0,0.26589585363508916,0.3794194471842496,0.0,0.586577806982865,0.6666666666666666,0.5938432340771227,True
0013_01_frame001,real_vggt_baseline_only,0.33215459282226123,0.010730958107688253,213,0.10328638497652583,0.06103286384976526,0.10328638497652583,1.4131455399061033,0.040439742811614714,0.32217740767764763,235,0.8978723404255319,15,0.6834662148289954,0.33711549670335983,0.6938344066057734,True,0.6164826160576006,True,1.0,0.5911692696426475,0.6833651422012876,0.3147823271582512,0.27501900489323233,0.6666666666666666,0.46562437160631054,True
0013_01_frame001,moderate_offset_surface_completion_true,0.3447600528849479,0.0011716624660352136,178,0.06179775280898876,0.011235955056179775,0.0449438202247191,1.2808988764044944,0.018878525943531437,0.49813628569729446,193,0.9067357512953368,14,0.5870062340334293,0.31173754553712,0.7411718055611082,True,0.5288019550850704,True,1.0,0.6294198580588611,0.8397416215565624,0.7626646404407854,0.28512459382941324,0.6666666666666666,0.4115871739291772,True
0013_01_frame001,visible_surface_preserving_infill_true,0.1524066559798728,0.0062775200991073785,196,0.923469387755102,0.8622448979591837,0.12244897959183673,5.489795918367347,0.4108153933418398,0.6815490996750374,743,0.9986541049798116,2,0.9627032524513347,0.6128287491861052,0.4416951787878978,True,0.6262338213561757,True,1.0,0.3352567863651174,0.6225600331983007,0.17690484217300773,0.6087388023036371,0.6666666666666666,0.6189950823843376,True
0013_01_frame001,same_topology_no_semantic,0.13344995876017693,0.010166350177534636,181,0.9668508287292817,0.8397790055248618,0.2154696132596685,5.093922651933702,0.5708784251950574,0.7057277251832829,638,1.0,1,0.9920564410640399,0.6434056837559244,0.41305253425873817,True,0.6779244729287613,False,1.0,0.28057980013125683,0.4124624635055212,0.09691558597973753,0.6717350757492943,0.6666666666666666,0.6592843267754295,True
0013_01_frame001,shuffled_smpl_feature,0.38996626924074734,0.013256562356243841,208,0.7932692307692307,0.3125,0.10096153846153846,3.1971153846153846,0.24307403453872342,0.5399824030297004,479,0.9331941544885177,9,0.9825336588892412,0.5860632355342918,0.4571353567080842,True,0.6816081602455603,False,1.0,0.2783948754972244,0.41011231700623857,0.0473915321655421,0.6388747854738601,0.6666666666666666,0.6300139009014754,True
