case,config,part_a,part_b,part_a_name,part_b_name,is_adjacent,mean_bbox_overlap,volume_bbox_overlap,thin_axis_overlap,normalized_center_distance,normalized_center_distance_xy,invalid_overlap_penalty,pair_separation_or_contact_score
0012_11_frame001,multishell_topology_decoder_true,0,1,head_hair,torso_shoulder,True,0.6895510454747948,0.5160112438164044,1.0,0.24376812242072865,0.19619658097575368,0.0,0.40991615475318105
0012_11_frame001,multishell_topology_decoder_true,0,2,head_hair,left_arm_endpoint,False,0.6666666666666666,0.0,1.0,0.24854929725628505,0.21483971221651083,0.0,0.3452073573003959
0012_11_frame001,multishell_topology_decoder_true,0,3,head_hair,right_arm_endpoint,False,0.8983481407485169,0.8858037628625488,1.0,0.2368106122196753,0.12012661971794551,0.65,0.32890362808288237
0012_11_frame001,multishell_topology_decoder_true,0,4,head_hair,left_leg,False,1.0,1.0,1.0,0.1324497981129609,0.1015550142205705,1.0,0.1839580529346679
0012_11_frame001,multishell_topology_decoder_true,0,5,head_hair,right_leg,False,0.9939197604202551,0.993882411852186,1.0,0.13004429837273476,0.10910871352112335,1.0,0.18061708107324273
0012_11_frame001,multishell_topology_decoder_true,0,6,head_hair,left_foot_endpoint,False,0.9260200431675876,0.9197526625207177,1.0,0.22386506821760074,0.10802159213438078,1.0,0.31092370585777884
0012_11_frame001,multishell_topology_decoder_true,0,7,head_hair,right_foot_endpoint,False,0.9136145369312322,0.9048477551021329,1.0,0.29303128866023315,0.19018004074119402,1.0,0.4069879009169905
0012_11_frame001,multishell_topology_decoder_true,1,2,torso_shoulder,left_arm_endpoint,True,0.8596601089819987,0.8428122249630609,0.9928117251501916,0.1425281948505857,0.07150316374530111,0.0,0.7225169632962369
0012_11_frame001,multishell_topology_decoder_true,1,3,torso_shoulder,right_arm_endpoint,True,0.7976876600345149,0.7709788857133436,1.0,0.20252353997996977,0.15308924505253163,0.0,0.4986453263499924
0012_11_frame001,multishell_topology_decoder_true,1,4,torso_shoulder,left_leg,True,1.0,1.0,1.0,0.11344215450726565,0.09531505786438735,0.0,0.6483982014061712
0012_11_frame001,multishell_topology_decoder_true,1,5,torso_shoulder,right_leg,True,0.999764085990582,0.9997640303132685,1.0,0.13007188427937505,0.09144963942134965,0.0,0.659891283705598
0012_11_frame001,multishell_topology_decoder_true,1,6,torso_shoulder,left_foot_endpoint,False,0.8285454253294189,0.8096503669167059,1.0,0.41116269924329907,0.26643911963671607,1.0,0.5710593045045821
