case,config,prediction,ply,source,model_owned_student_output,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,facial_detail_target_applicable,face_detail_claim_allowed,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,v3_semantic_topology_score_v3,v3_semantic_topology_fail_v3,v3_part_count,v3_part_order_score,v3_adjacency_score,v3_endpoint_score,v3_collision_penalty,v3_combined_topology_volume_score_v3,v3_combined_fail_v3,repair_info_json
0012_11_frame001,collision_aware_topology_true,D:\vggt\vggt-canonical-surfel-adapter\output\V17900000000000000000_collision_aware_topology_repair\0012_11_frame001\collision_aware_topology_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V17900000000000000000_collision_aware_topology_repair\0012_11_frame001\collision_aware_topology_true\full_scene_rgb_pointcloud.ply,D:\vggt\vggt-canonical-surfel-adapter\output\V17300000000000000000_multishell_topology_decoder_training\0012_11_frame001\multishell_topology_decoder_true\predictions.npz,True,False,False,False,False,0.41401981922696673,0.06661561068940293,173,0.6936416184971098,0.5260115606936416,0.017341040462427744,3.658959537572254,0.33313657384112133,1.0186210210859028,506,0.9841897233201581,7,0.6004012126543563,0.5963164407052874,0.49604166304187824,True,0.7825175146066843,True,8,0.5647799334327356,0.8332829795935826,1.0,0.8875921697825851,0.6670728487878183,True,"{""main_range"": 0.6041425710279386, ""side_range"": 0.3303005099061298, ""thin_range"": 0.2720878898993595, ""before_centers"": {""0"": [-0.0031391744362503308, 0.010535270391761088, -0.010861082844537009], ""1"": [0.12679709811569423, -0.026419162019106383, -0.003934809245186993], ""2"": [0.14451362510092308, 0.019515451960629763, -0.001028490639823701], ""3"": [0.028976468988792255, -0.06568708887299943, -0.01095178159563057], ""4"": [0.06237081528675628, -0.013916655267876141, -0.006112908491431705], ""5"": [0.0717084108320245, 0.004077406951112057, -0.0015130576658681574], ""6"": [-0.020571927384409407, 0.08284057731053263, -0.0008182028166731636], ""7"": [-0.10905526177901197, -0.06646318168069172, -0.0032219171962124815]}, ""after_centers"": {""0"": [-0.05583917568770814, 0.004003404781059532, -0.0041272272271375915], ""1"": [0.0944970984541402, -0.016379881578657964, -0.0024395720857405025], ""2"": [0.09181362179964538, 0.05246886332888006, 0.01310474315960471], ""3"": [0.01850242880612746, -0.07001408383336519, -0.01765721318871911], ""4"": [0.0754017761953446, 0.001412809778764687, 0.0013796675220620206], ""5"": [0.08119107683870382, -0.007513143322463151, -0.006107787666179001], ""6"": [0.032128076375687736, 0.056053776990325294, 0.006436880585008338], ""7"": [-0.05635526137334949, -0.049830366847076854, -0.007972099894328077]}}"
0013_01_frame001,collision_aware_topology_true,D:\vggt\vggt-canonical-surfel-adapter\output\V17900000000000000000_collision_aware_topology_repair\0013_01_frame001\collision_aware_topology_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V17900000000000000000_collision_aware_topology_repair\0013_01_frame001\collision_aware_topology_true\full_scene_rgb_pointcloud.ply,D:\vggt\vggt-canonical-surfel-adapter\output\V17300000000000000000_multishell_topology_decoder_training\0013_01_frame001\multishell_topology_decoder_true\predictions.npz,True,False,False,False,False,0.38021405101547046,0.03991305028888697,181,0.6574585635359116,0.4696132596685083,0.049723756906077346,3.4640883977900554,0.29383438490024516,0.9083799987015416,491,0.9857433808553971,7,0.6312659503306758,0.5653685845210549,0.5218737790022286,True,0.8585167685970819,True,8,1.0,0.7893665128165226,1.0,0.888248596070488,0.6767648944699451,True,"{""main_range"": 0.642910573451151, ""side_range"": 0.2777544566321086, ""thin_range"": 0.24823205905065, ""before_centers"": {""0"": [0.015378421046073964, 0.0013163409023777017, -0.003795470393173109], ""1"": [0.13387633618118064, -0.01606430497775913, -0.0024194633085484855], ""2"": [0.16370031650178352, 0.04257106008812647, 0.0007474053754368618], ""3"": [0.11832862238687908, -0.0719266499286479, 0.0015559948933489068], ""4"": [0.10677067769761359, 0.0014669383705920827, -0.00016688179925778215], ""5"": [0.1228768023552996, -0.0029212135427969417, -0.00010738206193219857], ""6"": [0.02623963288261156, 0.07126395619456061, 0.004062885436741364], ""7"": [-0.22956994389484423, -0.018884103996736786, 0.0011380108799496757]}, ""after_centers"": {""0"": [-0.03732157897397036, 0.0005002109277157285, -0.0014422854522660056], ""1"": [0.10157634154517674, -0.009959870585263127, -0.0015000637596983626], ""2"": [0.1110003141716371, 0.05406270928011324, 0.012596298716505661], ""3"": [0.06562862854562708, -0.06521783782401656, -0.011721008803631063], ""4"": [0.1052867766777297, 0.009353238031401971, 0.0046129464866853966], ""5"": [0.11527258373039537, -0.010254888139275388, -0.004782995299405286], ""6"": [0.07893963238548588, 0.04774523614011342, 0.0077000545941046895], ""7"": [-0.17686993869235224, -0.027840891242308256, -0.0057236895081633436]}}"
0021_03_frame001,collision_aware_topology_true,D:\vggt\vggt-canonical-surfel-adapter\output\V17900000000000000000_collision_aware_topology_repair\0021_03_frame001\collision_aware_topology_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V17900000000000000000_collision_aware_topology_repair\0021_03_frame001\collision_aware_topology_true\full_scene_rgb_pointcloud.ply,D:\vggt\vggt-canonical-surfel-adapter\output\V17300000000000000000_multishell_topology_decoder_training\0021_03_frame001\multishell_topology_decoder_true\predictions.npz,True,False,False,False,False,0.41892112311128027,0.04826374420991378,110,0.8090909090909091,0.6636363636363637,0.01818181818181818,4.581818181818182,0.3934275789124756,1.258472709821315,385,0.9636363636363636,6,0.6314469675228451,0.6506804493465077,0.46086083165608366,True,0.8628778008397062,True,8,1.0,0.7922717210925043,1.0,0.8519012943341986,0.7313154429139231,True,"{""main_range"": 0.6956600737824871, ""side_range"": 0.6022226906533579, ""thin_range"": 0.28367008140943, ""before_centers"": {""0"": [0.07195914754137785, 0.060220762959854866, -0.017880015800277493], ""1"": [0.03694199119726712, -0.02223070970258475, -0.020923101471723316], ""2"": [0.24129525964791587, 0.028187118015753417, -0.0017751699218073735], ""3"": [0.016218031620328012, -0.12602957614767463, 0.004678099524281637], ""4"": [0.08774256319880175, 0.008196143572338504, -0.008990995913379913], ""5"": [0.11205468828448982, -0.0059974013587667215, -0.01010259786496847], ""6"": [0.16073211341404028, 0.06735124410503386, -0.0007049703268543726], ""7"": [-0.14412648773228953, 0.0029296709454287896, -9.030830397938408e-05]}, ""after_centers"": {""0"": [0.019259147792515856, 0.026120757194288243, -0.006794379543144654], ""1"": [0.004641996408550519, -0.013783043752649278, -0.01297229856258586], ""2"": [0.18859526146082317, 0.06228711866853836, 0.013395486847540116], ""3"": [0.014789030261902397, -0.13003440792717708, -0.012292376847429953], ""4"": [0.0966965256427805, 0.023389173041606842, -0.00018466122338885302], ""5"": [0.11177003512246575, -0.02202596632284532, -0.011653328493832528], ""6"": [0.19909715989633017, 0.07039884105525576, 0.006767116809038097], ""7"": [-0.09142647640084348, -0.03117033009161247, -0.007069325814984178]}}"
current_v895_0021_03,collision_aware_topology_true,D:\vggt\vggt-canonical-surfel-adapter\output\V17900000000000000000_collision_aware_topology_repair\current_v895_0021_03\collision_aware_topology_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V17900000000000000000_collision_aware_topology_repair\current_v895_0021_03\collision_aware_topology_true\full_scene_rgb_pointcloud.ply,D:\vggt\vggt-canonical-surfel-adapter\output\V17300000000000000000_multishell_topology_decoder_training\current_v895_0021_03\multishell_topology_decoder_true\predictions.npz,True,False,False,False,False,0.4466194295973507,0.05562660003874516,116,0.7931034482758621,0.5862068965517241,0.008620689655172414,4.146551724137931,0.36869833933564083,1.3489693164440002,387,0.9612403100775194,4,0.6154633641792044,0.6431951731807514,0.477888235830637,True,0.8647308466204942,True,8,1.0,0.7972540933888723,1.0,0.8458267672672397,0.7273787290878536,True,"{""main_range"": 0.644619817130923, ""side_range"": 0.6191663916111476, ""thin_range"": 0.2865210200752036, ""before_centers"": {""0"": [0.07175788439311609, 0.04706590592283598, -0.013109881253349243], ""1"": [0.0460881305711706, -0.02311672511263388, -0.02031763478658241], ""2"": [0.2502398526770935, 0.03024757520886732, -0.004932788008560927], ""3"": [0.025202700140298528, -0.12733793902894383, 0.00690735440571074], ""4"": [0.08633520461342646, 0.009147162475842643, -0.01012357942286396], ""5"": [0.12689981609872675, -0.008523815733368263, -0.008464831245796424], ""6"": [0.1682035023401622, 0.07406891358885781, -0.0037014555577243695], ""7"": [-0.13938670026679273, 0.001438428157432893, 0.0007609271072430016]}, ""after_centers"": {""0"": [0.019057888818675532, 0.017885044334431766, -0.004981765361243123], ""1"": [0.013788125544231058, -0.014332364737812025, -0.012596960455967959], ""2"": [0.19753986001065896, 0.06434757506448663, 0.0123370110972378], ""3"": [0.01757031467311188, -0.13284271300401354, -0.011586671247257204], ""4"": [0.09272071838070294, 0.024493893201723738, -0.0008327259994600159], ""5"": [0.11787077041256626, -0.02410741637084314, -0.010692118911012748], ""6"": [0.19180990055774425, 0.07421216834752789, 0.005699161853311985], ""7"": [-0.08668670443550844, -0.03266157237057529, -0.006816586880661957]}}"
