case,config,prediction,ply,steps,max_points,device,history_json,model_owned_student_output,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,facial_detail_target_applicable,face_detail_claim_allowed,feature_bank_fallback_used,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,adjacency_collision_score_v4,adjacency_collision_fail_v4,part_presence_score,valid_contact_score,invalid_overlap_penalty,adjacent_overmerge_penalty,distant_separation_score,semantic_order_score,combined_topology_volume_score_v4,combined_fail_v4
0012_11_frame001,pose_frame_occupancy_true,/workspace/repo/output/V19000000000000000000_pose_frame_occupancy_repair/0012_11_frame001/pose_frame_occupancy_true/predictions.npz,/workspace/repo/output/V19000000000000000000_pose_frame_occupancy_repair/0012_11_frame001/pose_frame_occupancy_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 0.7777203917503357, ""base_graph"": 1.7070131301879883, ""pose_front"": 0.00025069236289709806, ""pose_back"": 0.0005011694738641381, ""pose_width"": 0.00375488493591547, ""side_floor"": 0.00826086662709713, ""normal_align"": 0.0012714546173810959, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 5.776331090601161e-05, ""grad_norm"": 3.434408187866211}, {""step"": 50, ""loss"": 0.04856264218688011, ""base_graph"": 0.10612624138593674, ""pose_front"": 4.969095971318893e-05, ""pose_back"": 6.209033745108172e-05, ""pose_width"": 0.0006010193610563874, ""side_floor"": 0.0, ""normal_align"": 0.00015080305456649512, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.00010364742774982005, ""grad_norm"": 0.03966102376580238}, {""step"": 100, ""loss"": 0.022105179727077484, ""base_graph"": 0.0478488951921463, ""pose_front"": 4.104354593437165e-05, ""pose_back"": 4.0622624510433525e-05, ""pose_width"": 0.0004434495058376342, ""side_floor"": 0.0, ""normal_align"": 1.668182812863961e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.00010093793389387429, ""grad_norm"": 0.013778384774923325}, {""step"": 150, ""loss"": 0.02041521668434143, ""base_graph"": 0.04438205435872078, ""pose_front"": 2.9897928470745683e-05, ""pose_back"": 3.011557419085875e-05, ""pose_width"": 0.00034106633393093944, ""side_floor"": 0.0, ""normal_align"": 1.0156452844967134e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.00010077372280647978, ""grad_norm"": 0.07420641928911209}, {""step"": 200, ""loss"": 0.01987202651798725, ""base_graph"": 0.04322657361626625, ""pose_front"": 2.7344582122168504e-05, ""pose_back"": 2.9678614737349562e-05, ""pose_width"": 0.0003249396977480501, ""side_floor"": 0.0, ""normal_align"": 5.535665877687279e-06, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 9.374880755785853e-05, ""grad_norm"": 0.05712924152612686}, {""step"": 250, ""loss"": 0.01977258361876011, ""base_graph"": 0.04301842302083969, ""pose_front"": 2.7227481041336432e-05, ""pose_back"": 2.7914731617784128e-05, ""pose_width"": 0.00032082688994705677, ""side_floor"": 0.0, ""normal_align"": 6.164441401779186e-06, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 9.622117795515805e-05, ""grad_norm"": 0.10935520380735397}, {""step"": 300, ""loss"": 0.01951482519507408, ""base_graph"": 0.04246138408780098, ""pose_front"": 2.5244842618121766e-05, ""pose_back"": 2.876502912840806e-05, ""pose_width"": 0.00031789118656888604, ""side_floor"": 0.0, ""normal_align"": 3.434086238485179e-06, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 9.103756747208536e-05, ""grad_norm"": 0.03306514024734497}]",True,False,False,False,False,False,0.33533532020377477,0.06100376358777963,171,0.9239766081871345,0.7602339181286549,0.04093567251461988,4.555555555555555,0.5056354771568534,1.0796787330199042,559,1.0,1,0.9980026428371067,0.6870912009155056,0.3992830977260868,True,0.6622058835135192,False,1.0,0.25590725363513306,0.41218058742764024,0.0,0.6991935028120413,0.3333333333333333,0.6756439549105919,True
0013_01_frame001,pose_frame_occupancy_true,/workspace/repo/output/V19000000000000000000_pose_frame_occupancy_repair/0013_01_frame001/pose_frame_occupancy_true/predictions.npz,/workspace/repo/output/V19000000000000000000_pose_frame_occupancy_repair/0013_01_frame001/pose_frame_occupancy_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 0.7788975834846497, ""base_graph"": 1.713161826133728, ""pose_front"": 0.0002874982892535627, ""pose_back"": 0.00039357971400022507, ""pose_width"": 0.003357767127454281, ""side_floor"": 0.0062316348776221275, ""normal_align"": 0.0013254971709102392, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 1.1773498954426032e-05, ""grad_norm"": 3.163266181945801}, {""step"": 50, ""loss"": 0.049248356372117996, ""base_graph"": 0.10752113908529282, ""pose_front"": 5.641259122057818e-05, ""pose_back"": 6.501629104604945e-05, ""pose_width"": 0.0006013840902596712, ""side_floor"": 0.0, ""normal_align"": 0.00038091064197942615, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 2.344048334634863e-05, ""grad_norm"": 0.04420538246631622}, {""step"": 100, ""loss"": 0.016746215522289276, ""base_graph"": 0.03605550155043602, ""pose_front"": 3.9211394323501736e-05, ""pose_back"": 3.948017183574848e-05, ""pose_width"": 0.00040990152047015727, ""side_floor"": 0.0, ""normal_align"": 4.9325994041282684e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 2.2619698938797228e-05, ""grad_norm"": 0.01566726341843605}, {""step"": 150, ""loss"": 0.01448168233036995, ""base_graph"": 0.03123118169605732, ""pose_front"": 3.2439416827401146e-05, ""pose_back"": 2.8479913453338668e-05, ""pose_width"": 0.0003499586309771985, ""side_floor"": 0.0, ""normal_align"": 1.5026376786408946e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 2.25409912673058e-05, ""grad_norm"": 0.025962388142943382}, {""step"": 200, ""loss"": 0.013954360969364643, ""base_graph"": 0.03012707084417343, ""pose_front"": 2.5603960239095613e-05, ""pose_back"": 3.0678362236358225e-05, ""pose_width"": 0.00032637128606438637, ""side_floor"": 0.0, ""normal_align"": 9.915425835060887e-06, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 2.2367055862559937e-05, ""grad_norm"": 0.02878342941403389}, {""step"": 250, ""loss"": 0.01368147786706686, ""base_graph"": 0.029538914561271667, ""pose_front"": 2.6879983124672435e-05, ""pose_back"": 2.7547916033654474e-05, ""pose_width"": 0.0003212835290469229, ""side_floor"": 0.0, ""normal_align"": 8.352066288352944e-06, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 2.2060228729969822e-05, ""grad_norm"": 0.028985893353819847}, {""step"": 300, ""loss"": 0.01383159589022398, ""base_graph"": 0.02987317182123661, ""pose_front"": 2.7278088964521885e-05, ""pose_back"": 2.683303137018811e-05, ""pose_width"": 0.0003201185609214008, ""side_floor"": 0.0, ""normal_align"": 1.2022976079606451e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 2.25635631068144e-05, ""grad_norm"": 0.10843027383089066}]",True,False,False,False,False,False,0.21667898085160198,0.02161286416115057,183,0.9781420765027322,0.8852459016393442,0.273224043715847,5.743169398907104,0.6131590133340962,0.9653999687767421,724,1.0,1,0.9948527117583288,0.7075050295023431,0.3697269679997963,False,0.6614787496848584,False,1.0,0.29752713928674257,0.44925347400563753,0.16180339146736586,0.6417768479511322,0.6666666666666666,0.6863329407863001,False
0021_03_frame001,pose_frame_occupancy_true,/workspace/repo/output/V19000000000000000000_pose_frame_occupancy_repair/0021_03_frame001/pose_frame_occupancy_true/predictions.npz,/workspace/repo/output/V19000000000000000000_pose_frame_occupancy_repair/0021_03_frame001/pose_frame_occupancy_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 0.7152780890464783, ""base_graph"": 1.5619313716888428, ""pose_front"": 0.00036051496863365173, ""pose_back"": 0.0001854983565863222, ""pose_width"": 0.0027467033360153437, ""side_floor"": 0.00477156788110733, ""normal_align"": 0.0006661319639533758, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.01827007159590721, ""grad_norm"": 2.4180803298950195}, {""step"": 50, ""loss"": 0.07835739850997925, ""base_graph"": 0.16659440100193024, ""pose_front"": 3.7788719055242836e-05, ""pose_back"": 3.83153346774634e-05, ""pose_width"": 0.00038329779636114836, ""side_floor"": 0.0, ""normal_align"": 0.00018578724120743573, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.008422480896115303, ""grad_norm"": 0.053237754851579666}, {""step"": 100, ""loss"": 0.0545443519949913, ""base_graph"": 0.11404731869697571, ""pose_front"": 2.985825813084375e-05, ""pose_back"": 2.8631066015805118e-05, ""pose_width"": 0.0002987166226375848, ""side_floor"": 0.0, ""normal_align"": 2.619016231619753e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.008381913416087627, ""grad_norm"": 0.014867231249809265}, {""step"": 150, ""loss"": 0.0515919029712677, ""base_graph"": 0.10784899443387985, ""pose_front"": 2.618928556330502e-05, ""pose_back"": 2.7463340302347206e-05, ""pose_width"": 0.0002704838407225907, ""side_floor"": 0.0, ""normal_align"": 1.8263697711518034e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.008007101714611053, ""grad_norm"": 0.022374074906110764}, {""step"": 200, ""loss"": 0.05078454688191414, ""base_graph"": 0.10576160997152328, ""pose_front"": 2.407786450930871e-05, ""pose_back"": 2.4627346647321247e-05, ""pose_width"": 0.0002606787602417171, ""side_floor"": 0.0, ""normal_align"": 1.7997937902691774e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.008445444516837597, ""grad_norm"": 0.061890944838523865}, {""step"": 250, ""loss"": 0.05020539090037346, ""base_graph"": 0.10606198757886887, ""pose_front"": 2.553346348577179e-05, ""pose_back"": 2.1401623598649167e-05, ""pose_width"": 0.0002549718483351171, ""side_floor"": 0.0, ""normal_align"": 1.5691184671595693e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.0063702124170959, ""grad_norm"": 0.19549962878227234}, {""step"": 300, ""loss"": 0.04979880526661873, ""base_graph"": 0.10458631068468094, ""pose_front"": 2.3017069906927645e-05, ""pose_back"": 2.1745916455984116e-05, ""pose_width"": 0.00025185043341480196, ""side_floor"": 0.0, ""normal_align"": 1.3579363439930603e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.007148144766688347, ""grad_norm"": 0.06375949084758759}]",True,False,False,False,False,False,0.42844620971614145,0.13972233426092823,133,0.8721804511278195,0.7744360902255639,0.0,4.601503759398496,0.49798411954951904,1.0226622770703169,417,1.0,1,0.9983769593641416,0.7174853983925837,0.36432758377304164,True,0.6884973059033659,False,1.0,0.2623090392555011,0.358396722912446,0.01455856318781934,0.5834146182085521,0.6666666666666666,0.7041508758475435,True
current_v895_0021_03,pose_frame_occupancy_true,/workspace/repo/output/V19000000000000000000_pose_frame_occupancy_repair/current_v895_0021_03/pose_frame_occupancy_true/predictions.npz,/workspace/repo/output/V19000000000000000000_pose_frame_occupancy_repair/current_v895_0021_03/pose_frame_occupancy_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 0.8667882084846497, ""base_graph"": 1.855628252029419, ""pose_front"": 0.00035621592542156577, ""pose_back"": 0.0002888700400944799, ""pose_width"": 0.0033192667178809643, ""side_floor"": 0.006584447342902422, ""normal_align"": 0.001614743727259338, ""completeness"": 0.046097785234451294, ""part_occupancy"": 0.0, ""floating"": 0.007037996314466, ""grad_norm"": 4.417644500732422}, {""step"": 50, ""loss"": 0.060990940779447556, ""base_graph"": 0.12954968214035034, ""pose_front"": 5.665482240146957e-05, ""pose_back"": 5.66705348319374e-05, ""pose_width"": 0.0005356447072699666, ""side_floor"": 0.0, ""normal_align"": 0.00033546623308211565, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.005658467300236225, ""grad_norm"": 0.0430978462100029}, {""step"": 100, ""loss"": 0.036541763693094254, ""base_graph"": 0.07562723010778427, ""pose_front"": 3.7539266486419365e-05, ""pose_back"": 4.094689938938245e-05, ""pose_width"": 0.0004394880379550159, ""side_floor"": 0.0, ""normal_align"": 4.2568062781356275e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.005799117498099804, ""grad_norm"": 0.010455631650984287}, {""step"": 150, ""loss"": 0.035153016448020935, ""base_graph"": 0.07072693109512329, ""pose_front"": 3.283601108705625e-05, ""pose_back"": 3.3642696507740766e-05, ""pose_width"": 0.0003732244949787855, ""side_floor"": 0.0, ""normal_align"": 5.7284323702333495e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.008420940488576889, ""grad_norm"": 0.6911666393280029}, {""step"": 200, ""loss"": 0.02942480519413948, ""base_graph"": 0.060865387320518494, ""pose_front"": 3.0352273824973963e-05, ""pose_back"": 3.201810613973066e-05, ""pose_width"": 0.0003464600595179945, ""side_floor"": 0.0, ""normal_align"": 2.6182235160376877e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.00474353414028883, ""grad_norm"": 0.19853314757347107}, {""step"": 250, ""loss"": 0.028850194066762924, ""base_graph"": 0.06045966595411301, ""pose_front"": 2.9041224479442462e-05, ""pose_back"": 3.0544077162630856e-05, ""pose_width"": 0.0003388553741388023, ""side_floor"": 0.0, ""normal_align"": 1.434052137483377e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.0036345822736620903, ""grad_norm"": 0.15561234951019287}, {""step"": 300, ""loss"": 0.030167825520038605, ""base_graph"": 0.06424757093191147, ""pose_front"": 3.212579031242058e-05, ""pose_back"": 2.5808845748542808e-05, ""pose_width"": 0.0003353881766088307, ""side_floor"": 0.0, ""normal_align"": 1.252938909601653e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.0025153502356261015, ""grad_norm"": 0.5926108956336975}]",True,False,False,False,False,False,0.4218223832243635,0.12748296168135023,123,0.8861788617886179,0.6991869918699187,0.032520325203252036,4.3983739837398375,0.45950935439042245,1.1936779813967102,392,1.0,1,0.9938450154456666,0.7050413893795545,0.3904528491321823,True,0.6306478058841347,False,1.0,0.2828935966019571,0.4288175355075683,0.1428571428571428,0.5608440577670252,0.3333333333333333,0.6708203409716615,True
