case_id,config,created_at,detail_sample_ratio,environment_points,fair_score,full_scene_points,human_points,human_ratio,modal_high_density_matrix,no_artificial_score_scaling,per_case_full_forward_effect,ply,prediction_npz,raw_kinect_depth_used_at_inference,rgb_variance,seed,smpl_prior_grad_mean,teacher_points_used_at_inference
0021_03_frame001,real_vggt_baseline_only,2026-05-27T14:41:10+00:00,0.7506,12000,0.6428214254367353,42000,30000,0.7142857142857143,True,True,0.049814753234386444,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\real_vggt_baseline_only\predictions.npz,False,0.05529142543673515,0,1.2851761312049348e-05,False
0021_03_frame001,shuffled_smpl_feature,2026-05-27T14:41:10+00:00,0.6215,12000,0.6602720604622364,42000,30000,0.7142857142857143,True,True,0.049814753234386444,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\shuffled_smpl_feature\predictions.npz,False,0.042982060462236404,0,1.2851761312049348e-05,False
0021_03_frame001,same_topology_no_semantic,2026-05-27T14:41:10+00:00,0.6242333333333333,12000,0.656005241159439,42000,30000,0.7142857142857143,True,True,0.049814753234386444,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\same_topology_no_semantic\full_scene_rgb_pointcloud.ply,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\same_topology_no_semantic\predictions.npz,False,0.03855124115943909,0,1.2851761312049348e-05,False
0021_03_frame001,posthoc_surfel_only,2026-05-27T14:41:10+00:00,0.6242333333333333,12000,0.656005241159439,42000,30000,0.7142857142857143,True,True,0.049814753234386444,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\posthoc_surfel_only\full_scene_rgb_pointcloud.ply,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\posthoc_surfel_only\predictions.npz,False,0.03855124115943909,0,1.2851761312049348e-05,False
0021_03_frame001,tiny_synthetic_token_control,2026-05-27T14:41:10+00:00,0.6215,12000,0.6537007601344585,42000,30000,0.7142857142857143,True,True,0.049814753234386444,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\tiny_synthetic_token_control\predictions.npz,False,0.03641076013445854,0,1.2851761312049348e-05,False
0021_03_frame001,source_label_only_control,2026-05-27T14:41:11+00:00,0.6215,12000,0.5678420604622364,42000,30000,0.7142857142857143,True,True,0.049814753234386444,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\source_label_only_control\full_scene_rgb_pointcloud.ply,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\source_label_only_control\predictions.npz,False,0.042982060462236404,0,1.2851761312049348e-05,False
0021_03_frame001,baseline_highconf_detail_only,2026-05-27T14:41:11+00:00,0.8131,12000,0.5926441467216015,42000,30000,0.7142857142857143,True,True,0.049814753234386444,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\baseline_highconf_detail_only\full_scene_rgb_pointcloud.ply,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\baseline_highconf_detail_only\predictions.npz,False,0.060120146721601486,0,1.2851761312049348e-05,False
0021_03_frame001,scaffold_only_no_vggt,2026-05-27T14:41:11+00:00,0.6242333333333333,12000,0.570428275985082,42000,30000,0.7142857142857143,True,True,0.049814753234386444,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\scaffold_only_no_vggt\full_scene_rgb_pointcloud.ply,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\scaffold_only_no_vggt\predictions.npz,False,0.04545894265174866,0,1.2851761312049348e-05,False
0021_03_frame001,environment_only_control,2026-05-27T14:41:11+00:00,0.0,12000,0.08,12000,0,0.0,True,True,0.049814753234386444,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\environment_only_control\full_scene_rgb_pointcloud.ply,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0021_03_frame001\environment_only_control\predictions.npz,False,0.0,0,1.2851761312049348e-05,False
0012_11_frame001,high_density_smpl_true,2026-05-27T14:41:11+00:00,1.0,12000,0.9092479243874549,72000,60000,0.8333333333333334,True,True,0.06700830906629562,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0012_11_frame001\high_density_smpl_true\full_scene_rgb_pointcloud.ply,D:\vggt\vggt-canonical-surfel-adapter\output\V25000000000000000_high_density_predictions\0012_11_frame001\high_density_smpl_true\predictions.npz,False,0.03519967943429947,0,1.4694011042593047e-05,False
