case,config,prediction,ply,steps,max_points,device,history_json,model_owned_student_output,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,facial_detail_target_applicable,face_detail_claim_allowed,feature_bank_fallback_used,axis_y_dot_world_y,axis_x_dot_world_x,axis_z_dot_world_z,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,adjacency_collision_score_v4,adjacency_collision_fail_v4,part_presence_score,valid_contact_score,invalid_overlap_penalty,adjacent_overmerge_penalty,distant_separation_score,semantic_order_score,combined_topology_volume_score_v4,combined_fail_v4
0012_11_frame001,upright_pose_frame_true,/workspace/repo/output/V19200000000000000000_upright_pose_frame_layout/0012_11_frame001/upright_pose_frame_true/predictions.npz,/workspace/repo/output/V19200000000000000000_upright_pose_frame_layout/0012_11_frame001/upright_pose_frame_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 0.7879475355148315, ""pose_width"": 0.003685873933136463, ""normal_align"": 0.0011563620064407587, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 5.736827733926475e-05, ""grad_norm"": 3.0494046211242676}, {""step"": 50, ""loss"": 0.053835395723581314, ""pose_width"": 0.0006084720371291041, ""normal_align"": 0.00018063868628814816, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.00010458505130372941, ""grad_norm"": 0.04795374721288681}, {""step"": 100, ""loss"": 0.02348930574953556, ""pose_width"": 0.000413813948398456, ""normal_align"": 2.4208873583120294e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.00010224409925285727, ""grad_norm"": 0.01052834466099739}, {""step"": 150, ""loss"": 0.020728198811411858, ""pose_width"": 0.0003387778124306351, ""normal_align"": 9.810201845539268e-06, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.00010068887058878317, ""grad_norm"": 0.021870329976081848}, {""step"": 200, ""loss"": 0.020110275596380234, ""pose_width"": 0.0003242113452870399, ""normal_align"": 7.392642601189436e-06, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 9.921131277224049e-05, ""grad_norm"": 0.022825151681900024}, {""step"": 250, ""loss"": 0.0197750274091959, ""pose_width"": 0.0003188189002685249, ""normal_align"": 1.2134471944591496e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 9.725358540890738e-05, ""grad_norm"": 0.0348941870033741}, {""step"": 300, ""loss"": 0.019616175442934036, ""pose_width"": 0.00031658922671340406, ""normal_align"": 1.1660139534797054e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 9.53559938352555e-05, ""grad_norm"": 0.057170554995536804}]",True,False,False,False,False,False,0.998263955116272,0.9891705513000488,0.9905653595924377,0.335053566651291,0.06108720149816577,173,0.9075144508670521,0.7572254335260116,0.04046242774566474,4.508670520231214,0.5027174747754378,1.092230152862111,561,1.0,1,0.9980221554549282,0.6827594943636298,0.4046189178653391,True,0.6625503649994269,False,1.0,0.2562498906027884,0.4117657675131682,0.0,0.7009719125304377,0.3333333333333333,0.6734632948560965,True
0013_01_frame001,upright_pose_frame_true,/workspace/repo/output/V19200000000000000000_upright_pose_frame_layout/0013_01_frame001/upright_pose_frame_true/predictions.npz,/workspace/repo/output/V19200000000000000000_upright_pose_frame_layout/0013_01_frame001/upright_pose_frame_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 0.7553501725196838, ""pose_width"": 0.004167991690337658, ""normal_align"": 0.001126765040680766, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 1.1162650480400771e-05, ""grad_norm"": 3.191871166229248}, {""step"": 50, ""loss"": 0.05353151634335518, ""pose_width"": 0.000654928560834378, ""normal_align"": 0.000255648948950693, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 2.3160593627835624e-05, ""grad_norm"": 0.049498047679662704}, {""step"": 100, ""loss"": 0.01745288260281086, ""pose_width"": 0.0005223796470090747, ""normal_align"": 2.1008816474932246e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 2.2641939722234383e-05, ""grad_norm"": 0.015200775116682053}, {""step"": 150, ""loss"": 0.014686993323266506, ""pose_width"": 0.00038702506572008133, ""normal_align"": 1.031130159390159e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 2.2551637812284753e-05, ""grad_norm"": 0.02856895700097084}, {""step"": 200, ""loss"": 0.014066971838474274, ""pose_width"": 0.0003479577717371285, ""normal_align"": 8.427249667875003e-06, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 2.2440530301537365e-05, ""grad_norm"": 0.01804100163280964}, {""step"": 250, ""loss"": 0.013774682767689228, ""pose_width"": 0.00033076293766498566, ""normal_align"": 5.903706551180221e-06, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 2.2221864128368907e-05, ""grad_norm"": 0.03221477195620537}, {""step"": 300, ""loss"": 0.01362030953168869, ""pose_width"": 0.0003243352402932942, ""normal_align"": 8.432088179688435e-06, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 2.1439327611005865e-05, ""grad_norm"": 0.0559997633099556}]",True,False,False,False,False,False,0.9996950030326843,0.930806040763855,0.9305177927017212,0.215448203660077,0.021549608829247613,185,0.9837837837837838,0.8810810810810811,0.2702702702702703,5.735135135135135,0.6137827265239575,0.9677015155629228,730,1.0,1,0.9964032081541352,0.707074590761334,0.3703415304836998,False,0.662007244031597,False,1.0,0.2975481010020231,0.4490979364344604,0.15929287796481104,0.6431587740847342,0.6666666666666666,0.6863436112656551,False
0021_03_frame001,upright_pose_frame_true,/workspace/repo/output/V19200000000000000000_upright_pose_frame_layout/0021_03_frame001/upright_pose_frame_true/predictions.npz,/workspace/repo/output/V19200000000000000000_upright_pose_frame_layout/0021_03_frame001/upright_pose_frame_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 0.7150090932846069, ""pose_width"": 0.0030673625878989697, ""normal_align"": 0.0007596838986501098, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.019017212092876434, ""grad_norm"": 2.456770181655884}, {""step"": 50, ""loss"": 0.07680650800466537, ""pose_width"": 0.00040833844104781747, ""normal_align"": 0.0003498526639305055, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.00892286840826273, ""grad_norm"": 0.061009034514427185}, {""step"": 100, ""loss"": 0.05496332049369812, ""pose_width"": 0.0003293487534392625, ""normal_align"": 3.899533476214856e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.008356303907930851, ""grad_norm"": 0.010271044448018074}, {""step"": 150, ""loss"": 0.05224831774830818, ""pose_width"": 0.0003062421747017652, ""normal_align"": 2.5337030820082873e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.009309608489274979, ""grad_norm"": 0.21652649343013763}, {""step"": 200, ""loss"": 0.050626643002033234, ""pose_width"": 0.0002853135229088366, ""normal_align"": 2.072298593702726e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.00780929671600461, ""grad_norm"": 0.057455528527498245}, {""step"": 250, ""loss"": 0.04993772506713867, ""pose_width"": 0.0002579561551101506, ""normal_align"": 1.6575733752688393e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.00791328027844429, ""grad_norm"": 0.07994181662797928}, {""step"": 300, ""loss"": 0.04983268305659294, ""pose_width"": 0.000253783306106925, ""normal_align"": 1.635038643144071e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.0074134692549705505, ""grad_norm"": 0.04383012279868126}]",True,False,False,False,False,False,0.953227698802948,0.9577044248580933,0.9571675658226013,0.4288745418794459,0.13995467096658815,132,0.8863636363636364,0.7803030303030303,0.0,4.583333333333333,0.4983951688440015,1.0059356611240278,420,1.0,1,0.9973391588497409,0.7214675885771529,0.35900726431276936,True,0.6889115755317523,False,1.0,0.2638231852609997,0.3604108738190068,0.01217289815547661,0.5853173942294727,0.6666666666666666,0.7064918225762686,True
current_v895_0021_03,upright_pose_frame_true,/workspace/repo/output/V19200000000000000000_upright_pose_frame_layout/current_v895_0021_03/upright_pose_frame_true/predictions.npz,/workspace/repo/output/V19200000000000000000_upright_pose_frame_layout/current_v895_0021_03/upright_pose_frame_true/full_scene_rgb_pointcloud.ply,300,8192,cuda,"[{""step"": 1, ""loss"": 0.828231155872345, ""pose_width"": 0.0034636324271559715, ""normal_align"": 0.0034008482471108437, ""completeness"": 0.004564613103866577, ""part_occupancy"": 0.0, ""floating"": 0.008271103724837303, ""grad_norm"": 4.151639938354492}, {""step"": 50, ""loss"": 0.063138946890831, ""pose_width"": 0.0005554481176659465, ""normal_align"": 0.0001438362814951688, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.006092475727200508, ""grad_norm"": 0.0426081046462059}, {""step"": 100, ""loss"": 0.0361848883330822, ""pose_width"": 0.0004696057876572013, ""normal_align"": 6.446846236940473e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.005650969222187996, ""grad_norm"": 0.01930926740169525}, {""step"": 150, ""loss"": 0.030721647664904594, ""pose_width"": 0.0003743019187822938, ""normal_align"": 3.8640209822915494e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.00432377215474844, ""grad_norm"": 0.0948382094502449}, {""step"": 200, ""loss"": 0.029130971059203148, ""pose_width"": 0.00034993290319107473, ""normal_align"": 2.0492641851888038e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.0039873868227005005, ""grad_norm"": 0.039504390209913254}, {""step"": 250, ""loss"": 0.028681468218564987, ""pose_width"": 0.0003422597364988178, ""normal_align"": 1.605666329851374e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.004128667060285807, ""grad_norm"": 0.05727575346827507}, {""step"": 300, ""loss"": 0.028476696461439133, ""pose_width"": 0.00033783921389840543, ""normal_align"": 1.3552242307923734e-05, ""completeness"": 0.0, ""part_occupancy"": 0.0, ""floating"": 0.0036650493275374174, ""grad_norm"": 0.1276959925889969}]",True,False,False,False,False,False,0.9556172490119934,0.9597655534744263,0.9563603401184082,0.4230912252975413,0.12762068124134557,123,0.8780487804878049,0.7073170731707317,0.024390243902439025,4.439024390243903,0.46050646011810586,1.2036365828178666,392,1.0,1,0.9958598658933744,0.7043373919334388,0.3919535346919905,True,0.631049834462105,False,1.0,0.2821539859123915,0.4265483076295016,0.14285714285714285,0.5614991857320257,0.3333333333333333,0.6706251154966253,True
